slug,playlist,artist,title,level
latino,Latino,Luis Fonsi,Despacito,EASY
latino,Latino,Luis Fonsi,Échame la Culpa,EASY
latino,Latino,Daddy Yankee,Gasolina,EASY
latino,Latino,Don Omar,Danza Kuduro,EASY
latino,Latino,Enrique Iglesias,Bailando,EASY
latino,Latino,Enrique Iglesias,Súbeme la Radio,EASY
latino,Latino,Shakira,Hips Don't Lie,EASY
latino,Latino,Shakira,Waka Waka (This Time for Africa),EASY
latino,Latino,Shakira,Chantaje,EASY
latino,Latino,Shakira,"Whenever, Wherever",EASY
latino,Latino,Ricky Martin,Livin' la Vida Loca,EASY
latino,Latino,Ricky Martin,María,EASY
latino,Latino,Marc Anthony,Vivir Mi Vida,EASY
latino,Latino,Juanes,La Camisa Negra,EASY
latino,Latino,Manu Chao,Me Gustas Tú,EASY
latino,Latino,Gipsy Kings,Bamboléo,EASY
latino,Latino,Los del Río,Macarena,EASY
latino,Latino,J Balvin,Mi Gente,EASY
latino,Latino,Karol G,Tusa,EASY
latino,Latino,Karol G,Bichota,EASY
latino,Latino,Bad Bunny,Dakiti,EASY
latino,Latino,Bad Bunny,Tití Me Preguntó,EASY
latino,Latino,Bad Bunny,Me Porto Bonito,EASY
latino,Latino,Maluma,Hawái,EASY
latino,Latino,Maluma,Felices los 4,EASY
latino,Latino,Ozuna,Taki Taki,EASY
latino,Latino,Nicky Jam,El Perdón,EASY
latino,Latino,Camila Cabello,Havana,EASY
latino,Latino,Jennifer Lopez,On the Floor,EASY
latino,Latino,Jennifer Lopez,Let's Get Loud,EASY
latino,Latino,Pitbull,Timber,EASY
latino,Latino,Pitbull,Give Me Everything,EASY
latino,Latino,Rosalía,Despechá,EASY
latino,Latino,CNCO,Reggaetón Lento,EASY
latino,Latino,Álvaro Soler,Sofia,EASY
latino,Latino,Lou Bega,Mambo No. 5,EASY
latino,Latino,Kaoma,Lambada,EASY
latino,Latino,Chayanne,Torero,EASY
latino,Latino,Aventura,Obsesión,EASY
latino,Latino,Romeo Santos,Propuesta Indecente,EASY
latino,Latino,Rauw Alejandro,Todo de Ti,EASY
latino,Latino,Quevedo,Quédate,EASY
latino,Latino,Shakira & Bizarrap,Bzrp Music Sessions #53,EASY
latino,Latino,Farruko,Pepas,EASY
latino,Latino,Manuel Turizo,La Bachata,EASY
latino,Latino,Feid,Classy 101,EASY
latino,Latino,Peso Pluma & Eslabon Armado,Ella Baila Sola,EASY
latino,Latino,Karol G,Provenza,EASY
latino,Latino,Sebastián Yatra,Tacones Rojos,EASY
latino,Latino,Daddy Yankee,Limbo,EASY
latino,Latino,Ricky Martin,La Copa de la Vida,MEDIUM
latino,Latino,Juanes,A Dios le Pido,MEDIUM
latino,Latino,Juanes,Fotografía,MEDIUM
latino,Latino,Carlos Vives,La Bicicleta,MEDIUM
latino,Latino,Maná,Oye Mi Amor,MEDIUM
latino,Latino,Maná,Rayando el Sol,MEDIUM
latino,Latino,Maná,Clavado en un Bar,MEDIUM
latino,Latino,Café Tacvba,Eres,MEDIUM
latino,Latino,Jesse & Joy,Corre,MEDIUM
latino,Latino,Jesse & Joy,Espacio Sideral,MEDIUM
latino,Latino,Reik,Me Niego,MEDIUM
latino,Latino,Camila,Mientes,MEDIUM
latino,Latino,Alejandro Sanz,Corazón Partío,MEDIUM
latino,Latino,Alejandro Sanz,Amiga Mía,MEDIUM
latino,Latino,David Bisbal,Bulería,MEDIUM
latino,Latino,David Bisbal,Ave María,MEDIUM
latino,Latino,Chayanne,Salomé,MEDIUM
latino,Latino,Thalía,Amor a la Mexicana,MEDIUM
latino,Latino,Thalía,Arrasando,MEDIUM
latino,Latino,Paulina Rubio,Ni una sola palabra,MEDIUM
latino,Latino,Gloria Estefan,Conga,MEDIUM
latino,Latino,Gloria Estefan,Rhythm Is Gonna Get You,MEDIUM
latino,Latino,Celia Cruz,La Vida Es un Carnaval,MEDIUM
latino,Latino,Marc Anthony,Valió la Pena,MEDIUM
latino,Latino,Prince Royce,Darte un Beso,MEDIUM
latino,Latino,Wisin & Yandel,Rakata,MEDIUM
latino,Latino,Daddy Yankee,"Lo Que Pasó, Pasó",MEDIUM
latino,Latino,Don Omar,Dile,MEDIUM
latino,Latino,J Balvin,Ginza,MEDIUM
latino,Latino,J Balvin,Ay Vamos,MEDIUM
latino,Latino,Maluma,Borró Cassette,MEDIUM
latino,Latino,Nicky Jam,Travesuras,MEDIUM
latino,Latino,Ozuna,El Farsante,MEDIUM
latino,Latino,Anuel AA,China,MEDIUM
latino,Latino,Rosalía & J Balvin,Con Altura,MEDIUM
latino,Latino,Sebastián Yatra,Robarte un Beso,MEDIUM
latino,Latino,Manuel Turizo,Una Lady Como Tú,MEDIUM
latino,Latino,Sech,Otro Trago,MEDIUM
latino,Latino,Mau y Ricky,Mi Mala,MEDIUM
latino,Latino,Cali y El Dandee,Yo Te Esperaré,MEDIUM
latino,Latino,Álvaro Soler,El Mismo Sol,MEDIUM
latino,Latino,Enrique Iglesias,Duele el Corazón,MEDIUM
latino,Latino,Inna,Hot,MEDIUM
latino,Latino,King Africa,La Bomba,MEDIUM
latino,Latino,Sergio Mendes,Mas que Nada,MEDIUM
latino,Latino,Buena Vista Social Club,Chan Chan,MEDIUM
latino,Latino,Juan Luis Guerra,Burbujas de Amor,MEDIUM
latino,Latino,Elvis Crespo,Suavemente,MEDIUM
latino,Latino,Carlos Vives,Volví a Nacer,MEDIUM
latino,Latino,Sin Bandera,Entra en Mi Vida,MEDIUM
latino,Latino,Héctor Lavoe,El Cantante,EXPERT
