slug,playlist,artist,title,level
soul-rnb,Soul & R&B,Aretha Franklin,Respect,EASY
soul-rnb,Soul & R&B,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,EASY
soul-rnb,Soul & R&B,Aretha Franklin,Think,EASY
soul-rnb,Soul & R&B,Otis Redding,(Sittin' On) The Dock of the Bay,EASY
soul-rnb,Soul & R&B,Otis Redding,Try a Little Tenderness,EASY
soul-rnb,Soul & R&B,Marvin Gaye,Let's Get It On,EASY
soul-rnb,Soul & R&B,Marvin Gaye,Sexual Healing,EASY
soul-rnb,Soul & R&B,Marvin Gaye,What's Going On,EASY
soul-rnb,Soul & R&B,Marvin Gaye,I Heard It Through the Grapevine,EASY
soul-rnb,Soul & R&B,Stevie Wonder,Superstition,EASY
soul-rnb,Soul & R&B,Stevie Wonder,Sir Duke,EASY
soul-rnb,Soul & R&B,Stevie Wonder,Isn't She Lovely,EASY
soul-rnb,Soul & R&B,Ray Charles,Hit the Road Jack,EASY
soul-rnb,Soul & R&B,Ray Charles,Georgia on My Mind,EASY
soul-rnb,Soul & R&B,Ray Charles,What'd I Say,EASY
soul-rnb,Soul & R&B,Sam Cooke,A Change Is Gonna Come,EASY
soul-rnb,Soul & R&B,Sam Cooke,Wonderful World,EASY
soul-rnb,Soul & R&B,Sam Cooke,Cupid,EASY
soul-rnb,Soul & R&B,James Brown,I Got You (I Feel Good),EASY
soul-rnb,Soul & R&B,James Brown,It's a Man's Man's Man's World,EASY
soul-rnb,Soul & R&B,Al Green,Let's Stay Together,EASY
soul-rnb,Soul & R&B,Wilson Pickett,In the Midnight Hour,EASY
soul-rnb,Soul & R&B,Wilson Pickett,Mustang Sally,EASY
soul-rnb,Soul & R&B,Percy Sledge,When a Man Loves a Woman,EASY
soul-rnb,Soul & R&B,Ben E. King,Stand by Me,EASY
soul-rnb,Soul & R&B,The Temptations,My Girl,EASY
soul-rnb,Soul & R&B,The Temptations,Papa Was a Rollin' Stone,EASY
soul-rnb,Soul & R&B,The Supremes,You Can't Hurry Love,EASY
soul-rnb,Soul & R&B,The Supremes,Baby Love,EASY
soul-rnb,Soul & R&B,The Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),EASY
soul-rnb,Soul & R&B,The Four Tops,Reach Out I'll Be There,EASY
soul-rnb,Soul & R&B,Smokey Robinson & The Miracles,The Tracks of My Tears,EASY
soul-rnb,Soul & R&B,Gladys Knight & the Pips,Midnight Train to Georgia,EASY
soul-rnb,Soul & R&B,Tina Turner,Proud Mary,EASY
soul-rnb,Soul & R&B,Tina Turner,What's Love Got to Do with It,EASY
soul-rnb,Soul & R&B,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),EASY
soul-rnb,Soul & R&B,Whitney Houston,I Will Always Love You,EASY
soul-rnb,Soul & R&B,Mariah Carey,Hero,EASY
soul-rnb,Soul & R&B,Mariah Carey,Fantasy,EASY
soul-rnb,Soul & R&B,Boyz II Men,End of the Road,EASY
soul-rnb,Soul & R&B,TLC,Waterfalls,EASY
soul-rnb,Soul & R&B,TLC,No Scrubs,EASY
soul-rnb,Soul & R&B,Destiny's Child,Say My Name,EASY
soul-rnb,Soul & R&B,Alicia Keys,No One,EASY
soul-rnb,Soul & R&B,Alicia Keys,Fallin',EASY
soul-rnb,Soul & R&B,Beyoncé,Crazy in Love,EASY
soul-rnb,Soul & R&B,John Legend,All of Me,EASY
soul-rnb,Soul & R&B,Lauryn Hill,Doo Wop (That Thing),EASY
soul-rnb,Soul & R&B,The Jackson 5,I Want You Back,EASY
soul-rnb,Soul & R&B,Diana Ross,Ain't No Mountain High Enough,EASY
soul-rnb,Soul & R&B,Curtis Mayfield,Move On Up,MEDIUM
soul-rnb,Soul & R&B,Curtis Mayfield,Superfly,MEDIUM
soul-rnb,Soul & R&B,Bill Withers,Lean on Me,MEDIUM
soul-rnb,Soul & R&B,Bill Withers,Ain't No Sunshine,MEDIUM
soul-rnb,Soul & R&B,Bill Withers,Lovely Day,MEDIUM
soul-rnb,Soul & R&B,Bill Withers,Use Me,MEDIUM
soul-rnb,Soul & R&B,Isaac Hayes,Theme from Shaft,MEDIUM
soul-rnb,Soul & R&B,Donny Hathaway,A Song for You,MEDIUM
soul-rnb,Soul & R&B,Roberta Flack,Killing Me Softly with His Song,MEDIUM
soul-rnb,Soul & R&B,The Isley Brothers,Between the Sheets,MEDIUM
soul-rnb,Soul & R&B,The Isley Brothers,That Lady,MEDIUM
soul-rnb,Soul & R&B,Teddy Pendergrass,Love T.K.O.,MEDIUM
soul-rnb,Soul & R&B,Barry White,"Can't Get Enough of Your Love, Babe",MEDIUM
soul-rnb,Soul & R&B,Barry White,"You're the First, the Last, My Everything",MEDIUM
soul-rnb,Soul & R&B,The O'Jays,Love Train,MEDIUM
soul-rnb,Soul & R&B,The O'Jays,Back Stabbers,MEDIUM
soul-rnb,Soul & R&B,Harold Melvin & the Blue Notes,If You Don't Know Me by Now,MEDIUM
soul-rnb,Soul & R&B,The Stylistics,You Make Me Feel Brand New,MEDIUM
soul-rnb,Soul & R&B,The Delfonics,La-La (Means I Love You),MEDIUM
soul-rnb,Soul & R&B,The Chi-Lites,Have You Seen Her,MEDIUM
