slug,playlist,artist,title,level
variete-francaise,Variété Française,Claude François,Alexandrie Alexandra,EASY
variete-francaise,Variété Française,Claude François,Comme d'habitude,EASY
variete-francaise,Variété Française,Claude François,Cette année-là,EASY
variete-francaise,Variété Française,Claude François,Le téléphone pleure,EASY
variete-francaise,Variété Française,Johnny Hallyday,Allumer le feu,EASY
variete-francaise,Variété Française,Johnny Hallyday,Que je t'aime,EASY
variete-francaise,Variété Française,Johnny Hallyday,L'envie,EASY
variete-francaise,Variété Française,Johnny Hallyday,Gabrielle,EASY
variete-francaise,Variété Française,Michel Sardou,Les lacs du Connemara,EASY
variete-francaise,Variété Française,Michel Sardou,La maladie d'amour,EASY
variete-francaise,Variété Française,Michel Sardou,En chantant,EASY
variete-francaise,Variété Française,Michel Sardou,Je vais t'aimer,EASY
variete-francaise,Variété Française,Joe Dassin,Les Champs-Élysées,EASY
variete-francaise,Variété Française,Joe Dassin,L'été indien,EASY
variete-francaise,Variété Française,Joe Dassin,Et si tu n'existais pas,EASY
variete-francaise,Variété Française,Joe Dassin,Salut,EASY
variete-francaise,Variété Française,France Gall,"Ella, elle l'a",EASY
variete-francaise,Variété Française,France Gall,Résiste,EASY
variete-francaise,Variété Française,France Gall,Il jouait du piano debout,EASY
variete-francaise,Variété Française,Michel Berger,La groupie du pianiste,EASY
variete-francaise,Variété Française,Jean-Jacques Goldman,Quand la musique est bonne,EASY
variete-francaise,Variété Française,Jean-Jacques Goldman,Je te donne,EASY
variete-francaise,Variété Française,Jean-Jacques Goldman,Encore un matin,EASY
variete-francaise,Variété Française,Jean-Jacques Goldman,Envole-moi,EASY
variete-francaise,Variété Française,Jean-Jacques Goldman,Comme toi,EASY
variete-francaise,Variété Française,Daniel Balavoine,L'Aziza,EASY
variete-francaise,Variété Française,Daniel Balavoine,"Mon fils, ma bataille",EASY
variete-francaise,Variété Française,Daniel Balavoine,Tous les cris les SOS,EASY
variete-francaise,Variété Française,Mylène Farmer,Désenchantée,EASY
variete-francaise,Variété Française,Mylène Farmer,Sans contrefaçon,EASY
variete-francaise,Variété Française,Patrick Bruel,Casser la voix,EASY
variete-francaise,Variété Française,Patrick Bruel,Place des grands hommes,EASY
variete-francaise,Variété Française,Florent Pagny,Savoir aimer,EASY
variete-francaise,Variété Française,Florent Pagny,Ma liberté de penser,EASY
variete-francaise,Variété Française,Calogero,En apesanteur,EASY
variete-francaise,Variété Française,Calogero,Si seulement je pouvais lui manquer,EASY
variete-francaise,Variété Française,Zazie,Je suis un homme,EASY
variete-francaise,Variété Française,Vanessa Paradis,Joe le taxi,EASY
variete-francaise,Variété Française,Indochine,L'aventurier,EASY
variete-francaise,Variété Française,Indochine,J'ai demandé à la lune,EASY
variete-francaise,Variété Française,Indochine,Trois nuits par semaine,EASY
variete-francaise,Variété Française,Téléphone,Cendrillon,EASY
variete-francaise,Variété Française,Téléphone,Ça (c'est vraiment toi),EASY
variete-francaise,Variété Française,Téléphone,Un autre monde,EASY
variete-francaise,Variété Française,Julien Clerc,Femmes... je vous aime,EASY
variete-francaise,Variété Française,Michel Polnareff,On ira tous au paradis,EASY
variete-francaise,Variété Française,Michel Polnareff,Lettre à France,EASY
variete-francaise,Variété Française,Charles Aznavour,La bohème,EASY
variete-francaise,Variété Française,Charles Aznavour,Emmenez-moi,EASY
variete-francaise,Variété Française,Charles Aznavour,For Me Formidable,EASY
variete-francaise,Variété Française,Jacques Brel,Ne me quitte pas,EASY
variete-francaise,Variété Française,Jacques Brel,Amsterdam,EASY
variete-francaise,Variété Française,Édith Piaf,La vie en rose,EASY
variete-francaise,Variété Française,Édith Piaf,"Non, je ne regrette rien",EASY
variete-francaise,Variété Française,Édith Piaf,Milord,EASY
variete-francaise,Variété Française,Stromae,Alors on danse,EASY
variete-francaise,Variété Française,Stromae,Papaoutai,EASY
variete-francaise,Variété Française,Stromae,Formidable,EASY
variete-francaise,Variété Française,Christine and the Queens,Christine,EASY
variete-francaise,Variété Française,Angèle,Balance ton quoi,EASY
variete-francaise,Variété Française,Angèle,Bruxelles je t'aime,EASY
variete-francaise,Variété Française,Louane,Avenir,EASY
variete-francaise,Variété Française,Louane,Jour 1,EASY
variete-francaise,Variété Française,Kendji Girac,Andalouse,EASY
variete-francaise,Variété Française,Maître Gims,Bella,EASY
variete-francaise,Variété Française,Maître Gims,Sapés comme jamais,EASY
variete-francaise,Variété Française,Black M,Sur ma route,EASY
variete-francaise,Variété Française,Indila,Dernière danse,EASY
variete-francaise,Variété Française,Zaz,Je veux,EASY
variete-francaise,Variété Française,Christophe Maé,On s'attache,EASY
variete-francaise,Variété Française,Christophe Maé,Il est où le bonheur,EASY
variete-francaise,Variété Française,Soprano,Cosmo,EASY
variete-francaise,Variété Française,Amir,J'ai cherché,EASY
variete-francaise,Variété Française,Vianney,Je m'en vais,EASY
variete-francaise,Variété Française,Vianney,Pas là,EASY
variete-francaise,Variété Française,Renaud,Mistral gagnant,EASY
variete-francaise,Variété Française,Renaud,Dès que le vent soufflera,EASY
variete-francaise,Variété Française,Jean-Jacques Goldman,Il suffira d'un signe,EASY
variete-francaise,Variété Française,Patrick Sébastien,Les Sardines,EASY
variete-francaise,Variété Française,Michel Sardou,La java de Broadway,EASY
variete-francaise,Variété Française,Serge Gainsbourg,La Javanaise,MEDIUM
variete-francaise,Variété Française,Serge Gainsbourg,Je t'aime... moi non plus,MEDIUM
variete-francaise,Variété Française,Serge Gainsbourg,Bonnie and Clyde,MEDIUM
variete-francaise,Variété Française,Françoise Hardy,Tous les garçons et les filles,MEDIUM
variete-francaise,Variété Française,Françoise Hardy,Comment te dire adieu,MEDIUM
variete-francaise,Variété Française,Françoise Hardy,Message personnel,MEDIUM
variete-francaise,Variété Française,Jacques Dutronc,"Et moi, et moi, et moi",MEDIUM
variete-francaise,Variété Française,Jacques Dutronc,Les Cactus,MEDIUM
variete-francaise,Variété Française,Jacques Dutronc,"Il est cinq heures, Paris s'éveille",MEDIUM
variete-francaise,Variété Française,Michel Delpech,Pour un flirt,MEDIUM
variete-francaise,Variété Française,Michel Delpech,Le Loir-et-Cher,MEDIUM
variete-francaise,Variété Française,Christophe,Aline,MEDIUM
variete-francaise,Variété Française,Christophe,Les mots bleus,MEDIUM
variete-francaise,Variété Française,Alain Souchon,Foule sentimentale,MEDIUM
variete-francaise,Variété Française,Alain Souchon,J'ai dix ans,MEDIUM
variete-francaise,Variété Française,Alain Souchon,Allô maman bobo,MEDIUM
variete-francaise,Variété Française,Laurent Voulzy,Le pouvoir des fleurs,MEDIUM
variete-francaise,Variété Française,Laurent Voulzy,"Belle-Île-en-Mer, Marie-Galante",MEDIUM
variete-francaise,Variété Française,Véronique Sanson,Amoureuse,MEDIUM
variete-francaise,Variété Française,Maxime Le Forestier,San Francisco,MEDIUM
variete-francaise,Variété Française,Yves Montand,Les feuilles mortes,MEDIUM
variete-francaise,Variété Française,Yves Montand,À bicyclette,MEDIUM
variete-francaise,Variété Française,Gilbert Bécaud,Nathalie,MEDIUM
variete-francaise,Variété Française,Gilbert Bécaud,Et maintenant,MEDIUM
variete-francaise,Variété Française,Dalida,Bambino,MEDIUM
