slug,playlist,artist,title,level
rap-us,Rap US / Hip-Hop,Eminem,Lose Yourself,EASY
rap-us,Rap US / Hip-Hop,Eminem,Without Me,EASY
rap-us,Rap US / Hip-Hop,Eminem,The Real Slim Shady,EASY
rap-us,Rap US / Hip-Hop,Eminem,Stan,EASY
rap-us,Rap US / Hip-Hop,Eminem,Not Afraid,EASY
rap-us,Rap US / Hip-Hop,Eminem,Rap God,EASY
rap-us,Rap US / Hip-Hop,Dr. Dre,Still D.R.E.,EASY
rap-us,Rap US / Hip-Hop,Dr. Dre,The Next Episode,EASY
rap-us,Rap US / Hip-Hop,Dr. Dre,Forgot About Dre,EASY
rap-us,Rap US / Hip-Hop,Snoop Dogg,Drop It Like It's Hot,EASY
rap-us,Rap US / Hip-Hop,Snoop Dogg,Gin and Juice,EASY
rap-us,Rap US / Hip-Hop,Snoop Dogg,Who Am I (What's My Name)?,EASY
rap-us,Rap US / Hip-Hop,50 Cent,In Da Club,EASY
rap-us,Rap US / Hip-Hop,50 Cent,Candy Shop,EASY
rap-us,Rap US / Hip-Hop,50 Cent,P.I.M.P.,EASY
rap-us,Rap US / Hip-Hop,2Pac,California Love,EASY
rap-us,Rap US / Hip-Hop,2Pac,Changes,EASY
rap-us,Rap US / Hip-Hop,2Pac,Hit 'Em Up,EASY
rap-us,Rap US / Hip-Hop,2Pac,Dear Mama,EASY
rap-us,Rap US / Hip-Hop,The Notorious B.I.G.,Juicy,EASY
rap-us,Rap US / Hip-Hop,The Notorious B.I.G.,Big Poppa,EASY
rap-us,Rap US / Hip-Hop,The Notorious B.I.G.,Hypnotize,EASY
rap-us,Rap US / Hip-Hop,The Notorious B.I.G.,Mo Money Mo Problems,EASY
rap-us,Rap US / Hip-Hop,Jay-Z,Empire State of Mind,EASY
rap-us,Rap US / Hip-Hop,Jay-Z,99 Problems,EASY
rap-us,Rap US / Hip-Hop,Jay-Z,Hard Knock Life (Ghetto Anthem),EASY
rap-us,Rap US / Hip-Hop,Kanye West,Stronger,EASY
rap-us,Rap US / Hip-Hop,Kanye West,Gold Digger,EASY
rap-us,Rap US / Hip-Hop,Kanye West,Heartless,EASY
rap-us,Rap US / Hip-Hop,Kanye West,All of the Lights,EASY
rap-us,Rap US / Hip-Hop,Drake,Hotline Bling,EASY
rap-us,Rap US / Hip-Hop,Drake,God's Plan,EASY
rap-us,Rap US / Hip-Hop,Drake,One Dance,EASY
rap-us,Rap US / Hip-Hop,Drake,In My Feelings,EASY
rap-us,Rap US / Hip-Hop,Drake,Started from the Bottom,EASY
rap-us,Rap US / Hip-Hop,Kendrick Lamar,HUMBLE.,EASY
rap-us,Rap US / Hip-Hop,Kendrick Lamar,Alright,EASY
rap-us,Rap US / Hip-Hop,Kendrick Lamar,DNA.,EASY
rap-us,Rap US / Hip-Hop,Kendrick Lamar,Money Trees,EASY
rap-us,Rap US / Hip-Hop,Travis Scott,SICKO MODE,EASY
rap-us,Rap US / Hip-Hop,Travis Scott,Goosebumps,EASY
rap-us,Rap US / Hip-Hop,Post Malone,Rockstar,EASY
rap-us,Rap US / Hip-Hop,Post Malone,Congratulations,EASY
rap-us,Rap US / Hip-Hop,Post Malone,Sunflower,EASY
rap-us,Rap US / Hip-Hop,Cardi B,Bodak Yellow,EASY
rap-us,Rap US / Hip-Hop,Cardi B,I Like It,EASY
rap-us,Rap US / Hip-Hop,Cardi B,WAP,EASY
rap-us,Rap US / Hip-Hop,Nicki Minaj,Super Bass,EASY
rap-us,Rap US / Hip-Hop,Nicki Minaj,Anaconda,EASY
rap-us,Rap US / Hip-Hop,Nicki Minaj,Starships,EASY
rap-us,Rap US / Hip-Hop,Lil Wayne,Lollipop,EASY
rap-us,Rap US / Hip-Hop,Lil Wayne,A Milli,EASY
rap-us,Rap US / Hip-Hop,Lil Wayne,6 Foot 7 Foot,EASY
rap-us,Rap US / Hip-Hop,Wiz Khalifa,See You Again,EASY
rap-us,Rap US / Hip-Hop,Wiz Khalifa,Black and Yellow,EASY
rap-us,Rap US / Hip-Hop,Macklemore & Ryan Lewis,Thrift Shop,EASY
rap-us,Rap US / Hip-Hop,Macklemore & Ryan Lewis,Can't Hold Us,EASY
rap-us,Rap US / Hip-Hop,Childish Gambino,This Is America,EASY
rap-us,Rap US / Hip-Hop,Childish Gambino,Redbone,EASY
rap-us,Rap US / Hip-Hop,Future,Mask Off,EASY
rap-us,Rap US / Hip-Hop,Migos,Bad and Boujee,EASY
rap-us,Rap US / Hip-Hop,Migos,Walk It Talk It,EASY
rap-us,Rap US / Hip-Hop,Lil Nas X,Old Town Road,EASY
rap-us,Rap US / Hip-Hop,Lil Nas X,MONTERO (Call Me by Your Name),EASY
rap-us,Rap US / Hip-Hop,Megan Thee Stallion,Savage,EASY
rap-us,Rap US / Hip-Hop,DaBaby,Rockstar,EASY
rap-us,Rap US / Hip-Hop,Roddy Ricch,The Box,EASY
rap-us,Rap US / Hip-Hop,Juice WRLD,Lucid Dreams,EASY
rap-us,Rap US / Hip-Hop,XXXTentacion,SAD!,EASY
rap-us,Rap US / Hip-Hop,Lil Uzi Vert,XO Tour Llif3,EASY
rap-us,Rap US / Hip-Hop,21 Savage,Bank Account,EASY
rap-us,Rap US / Hip-Hop,Outkast,Hey Ya!,EASY
rap-us,Rap US / Hip-Hop,Outkast,Ms. Jackson,EASY
rap-us,Rap US / Hip-Hop,The Black Eyed Peas,Where Is the Love?,EASY
rap-us,Rap US / Hip-Hop,The Black Eyed Peas,I Gotta Feeling,EASY
rap-us,Rap US / Hip-Hop,The Black Eyed Peas,Boom Boom Pow,EASY
rap-us,Rap US / Hip-Hop,Missy Elliott,Work It,EASY
rap-us,Rap US / Hip-Hop,Missy Elliott,Get Ur Freak On,EASY
rap-us,Rap US / Hip-Hop,Pop Smoke,Dior,EASY
rap-us,Rap US / Hip-Hop,N.W.A,Straight Outta Compton,MEDIUM
rap-us,Rap US / Hip-Hop,N.W.A,Express Yourself,MEDIUM
rap-us,Rap US / Hip-Hop,Ice Cube,It Was a Good Day,MEDIUM
rap-us,Rap US / Hip-Hop,Ice Cube,Check Yo Self,MEDIUM
rap-us,Rap US / Hip-Hop,Public Enemy,Fight the Power,MEDIUM
rap-us,Rap US / Hip-Hop,Public Enemy,Bring the Noise,MEDIUM
rap-us,Rap US / Hip-Hop,Run-DMC,It's Tricky,MEDIUM
rap-us,Rap US / Hip-Hop,Run-DMC,It's Like That,MEDIUM
rap-us,Rap US / Hip-Hop,Beastie Boys,Sabotage,MEDIUM
rap-us,Rap US / Hip-Hop,Beastie Boys,(You Gotta) Fight for Your Right (to Party!),MEDIUM
rap-us,Rap US / Hip-Hop,Beastie Boys,Intergalactic,MEDIUM
rap-us,Rap US / Hip-Hop,LL Cool J,Mama Said Knock You Out,MEDIUM
rap-us,Rap US / Hip-Hop,LL Cool J,I Need Love,MEDIUM
rap-us,Rap US / Hip-Hop,Nas,N.Y. State of Mind,MEDIUM
rap-us,Rap US / Hip-Hop,Nas,If I Ruled the World (Imagine That),MEDIUM
rap-us,Rap US / Hip-Hop,Nas,The World Is Yours,MEDIUM
rap-us,Rap US / Hip-Hop,Nas,Made You Look,MEDIUM
rap-us,Rap US / Hip-Hop,Wu-Tang Clan,C.R.E.A.M.,MEDIUM
rap-us,Rap US / Hip-Hop,Wu-Tang Clan,Protect Ya Neck,MEDIUM
rap-us,Rap US / Hip-Hop,Wu-Tang Clan,Triumph,MEDIUM
rap-us,Rap US / Hip-Hop,Mobb Deep,"Shook Ones, Pt. II",MEDIUM
rap-us,Rap US / Hip-Hop,Method Man,Bring the Pain,MEDIUM
rap-us,Rap US / Hip-Hop,Busta Rhymes,Woo Hah!! Got You All in Check,MEDIUM
rap-us,Rap US / Hip-Hop,Busta Rhymes,Touch It,MEDIUM
rap-us,Rap US / Hip-Hop,Busta Rhymes,Put Your Hands Where My Eyes Could See,MEDIUM
rap-us,Rap US / Hip-Hop,DMX,Ruff Ryders' Anthem,MEDIUM
rap-us,Rap US / Hip-Hop,DMX,X Gon' Give It to Ya,MEDIUM
rap-us,Rap US / Hip-Hop,DMX,Party Up (Up in Here),MEDIUM
rap-us,Rap US / Hip-Hop,Ja Rule,Always on Time,MEDIUM
rap-us,Rap US / Hip-Hop,Nelly,Hot in Herre,MEDIUM
rap-us,Rap US / Hip-Hop,Nelly,Dilemma,MEDIUM
rap-us,Rap US / Hip-Hop,Nelly,Ride wit Me,MEDIUM
rap-us,Rap US / Hip-Hop,Ludacris,Stand Up,MEDIUM
rap-us,Rap US / Hip-Hop,Ludacris,Move Bitch,MEDIUM
rap-us,Rap US / Hip-Hop,T.I.,Whatever You Like,MEDIUM
rap-us,Rap US / Hip-Hop,T.I.,Live Your Life,MEDIUM
rap-us,Rap US / Hip-Hop,Rick Ross,Hustlin',MEDIUM
rap-us,Rap US / Hip-Hop,Common,The Light,MEDIUM
rap-us,Rap US / Hip-Hop,Mos Def,Ms. Fat Booty,MEDIUM
rap-us,Rap US / Hip-Hop,Talib Kweli,Get By,MEDIUM
rap-us,Rap US / Hip-Hop,The Roots,The Seed (2.0),MEDIUM
rap-us,Rap US / Hip-Hop,The Roots,You Got Me,MEDIUM
rap-us,Rap US / Hip-Hop,Lupe Fiasco,"Kick, Push",MEDIUM
rap-us,Rap US / Hip-Hop,Lupe Fiasco,Superstar,MEDIUM
rap-us,Rap US / Hip-Hop,J. Cole,Middle Child,MEDIUM
rap-us,Rap US / Hip-Hop,J. Cole,No Role Modelz,MEDIUM
rap-us,Rap US / Hip-Hop,J. Cole,Wet Dreamz,MEDIUM
rap-us,Rap US / Hip-Hop,Big Sean,Bounce Back,MEDIUM
rap-us,Rap US / Hip-Hop,Big Sean,I Don't Fuck with You,MEDIUM
rap-us,Rap US / Hip-Hop,Meek Mill,Dreams and Nightmares,MEDIUM
rap-us,Rap US / Hip-Hop,Meek Mill,Going Bad,MEDIUM
rap-us,Rap US / Hip-Hop,A$AP Rocky,Praise the Lord (Da Shine),MEDIUM
rap-us,Rap US / Hip-Hop,A$AP Rocky,L$D,MEDIUM
rap-us,Rap US / Hip-Hop,"Tyler, the Creator",EARFQUAKE,MEDIUM
rap-us,Rap US / Hip-Hop,"Tyler, the Creator",Yonkers,MEDIUM
rap-us,Rap US / Hip-Hop,ScHoolboy Q,Collard Greens,MEDIUM
rap-us,Rap US / Hip-Hop,2 Chainz,No Lie,MEDIUM
rap-us,Rap US / Hip-Hop,G-Eazy,"Me, Myself & I",MEDIUM
rap-us,Rap US / Hip-Hop,Logic,1-800-273-8255,MEDIUM
rap-us,Rap US / Hip-Hop,Vince Staples,Norf Norf,MEDIUM
rap-us,Rap US / Hip-Hop,Denzel Curry,Ultimate,MEDIUM
rap-us,Rap US / Hip-Hop,Playboi Carti,Magnolia,MEDIUM
rap-us,Rap US / Hip-Hop,Lil Baby,Drip Too Hard,MEDIUM
rap-us,Rap US / Hip-Hop,Lil Baby,The Bigger Picture,MEDIUM
rap-us,Rap US / Hip-Hop,Young Thug,Best Friend,MEDIUM
rap-us,Rap US / Hip-Hop,Pop Smoke,Welcome to the Party,MEDIUM
rap-us,Rap US / Hip-Hop,Three 6 Mafia,Stay Fly,MEDIUM
rap-us,Rap US / Hip-Hop,Bone Thugs-N-Harmony,Tha Crossroads,MEDIUM
rap-us,Rap US / Hip-Hop,Bone Thugs-N-Harmony,1st of tha Month,MEDIUM
rap-us,Rap US / Hip-Hop,Twista,Slow Jamz,MEDIUM
rap-us,Rap US / Hip-Hop,Clipse,Grindin',MEDIUM
rap-us,Rap US / Hip-Hop,Cam'ron,Hey Ma,MEDIUM
rap-us,Rap US / Hip-Hop,Jadakiss,Why,MEDIUM
rap-us,Rap US / Hip-Hop,Scarface,On My Block,MEDIUM
rap-us,Rap US / Hip-Hop,Geto Boys,Mind Playing Tricks on Me,MEDIUM
rap-us,Rap US / Hip-Hop,E-40,Tell Me When to Go,MEDIUM
rap-us,Rap US / Hip-Hop,Too Short,Blow the Whistle,MEDIUM
rap-us,Rap US / Hip-Hop,Grandmaster Flash & the Furious Five,The Message,EXPERT
rap-us,Rap US / Hip-Hop,Afrika Bambaataa,Planet Rock,EXPERT
rap-us,Rap US / Hip-Hop,Kurtis Blow,The Breaks,EXPERT
rap-us,Rap US / Hip-Hop,The Sugarhill Gang,Rapper's Delight,EXPERT
rap-us,Rap US / Hip-Hop,Eric B. & Rakim,Paid in Full,EXPERT
rap-us,Rap US / Hip-Hop,Eric B. & Rakim,I Know You Got Soul,EXPERT
rap-us,Rap US / Hip-Hop,Big Daddy Kane,Ain't No Half-Steppin',EXPERT
rap-us,Rap US / Hip-Hop,Boogie Down Productions,South Bronx,EXPERT
rap-us,Rap US / Hip-Hop,KRS-One,Sound of da Police,EXPERT
rap-us,Rap US / Hip-Hop,EPMD,Strictly Business,EXPERT
rap-us,Rap US / Hip-Hop,Gang Starr,Mass Appeal,EXPERT
rap-us,Rap US / Hip-Hop,Gang Starr,Just to Get a Rep,EXPERT
rap-us,Rap US / Hip-Hop,Pete Rock & CL Smooth,They Reminisce Over You (T.R.O.Y.),EXPERT
rap-us,Rap US / Hip-Hop,A Tribe Called Quest,Can I Kick It?,EXPERT
rap-us,Rap US / Hip-Hop,A Tribe Called Quest,Scenario,EXPERT
rap-us,Rap US / Hip-Hop,A Tribe Called Quest,Electric Relaxation,EXPERT
rap-us,Rap US / Hip-Hop,De La Soul,Me Myself and I,EXPERT
