slug,playlist,artist,title,level
reggae,Reggae,Bob Marley & The Wailers,"No Woman, No Cry",EASY
reggae,Reggae,Bob Marley & The Wailers,Could You Be Loved,EASY
reggae,Reggae,Bob Marley & The Wailers,Three Little Birds,EASY
reggae,Reggae,Bob Marley & The Wailers,One Love / People Get Ready,EASY
reggae,Reggae,Bob Marley & The Wailers,Is This Love,EASY
reggae,Reggae,Bob Marley & The Wailers,Jamming,EASY
reggae,Reggae,Bob Marley & The Wailers,Buffalo Soldier,EASY
reggae,Reggae,Bob Marley & The Wailers,Redemption Song,EASY
reggae,Reggae,Bob Marley & The Wailers,"Get Up, Stand Up",EASY
reggae,Reggae,Bob Marley & The Wailers,Stir It Up,EASY
reggae,Reggae,UB40,Red Red Wine,EASY
reggae,Reggae,UB40,(I Can't Help) Falling in Love with You,EASY
reggae,Reggae,UB40,Kingston Town,EASY
reggae,Reggae,Inner Circle,Sweat (A La La La La Long),EASY
reggae,Reggae,Inner Circle,Bad Boys,EASY
reggae,Reggae,Shaggy,It Wasn't Me,EASY
reggae,Reggae,Shaggy,Boombastic,EASY
reggae,Reggae,Shaggy,Angel,EASY
reggae,Reggae,Sean Paul,Get Busy,EASY
reggae,Reggae,Sean Paul,Temperature,EASY
reggae,Reggae,Sean Paul,Gimme the Light,EASY
reggae,Reggae,Shabba Ranks,Mr. Loverman,EASY
reggae,Reggae,Chaka Demus & Pliers,Murder She Wrote,EASY
reggae,Reggae,Ini Kamoze,Here Comes the Hotstepper,EASY
reggae,Reggae,Snow,Informer,EASY
reggae,Reggae,Bob Marley & The Wailers,Could You Be Loved (live),EASY
reggae,Reggae,Ziggy Marley,Tomorrow People,EASY
reggae,Reggae,Damian Marley,Welcome to Jamrock,EASY
reggae,Reggae,Maxi Priest,Close to You,EASY
reggae,Reggae,Aswad,Don't Turn Around,EASY
reggae,Reggae,Desmond Dekker,Israelites,EASY
reggae,Reggae,Jimmy Cliff,The Harder They Come,EASY
reggae,Reggae,Jimmy Cliff,You Can Get It If You Really Want,EASY
reggae,Reggae,Jimmy Cliff,Many Rivers to Cross,EASY
reggae,Reggae,Toots and the Maytals,Pressure Drop,EASY
reggae,Reggae,Toots and the Maytals,54-46 Was My Number,EASY
reggae,Reggae,Eddy Grant,Electric Avenue,EASY
reggae,Reggae,Musical Youth,Pass the Dutchie,EASY
reggae,Reggae,Dawn Penn,"You Don't Love Me (No, No, No)",EASY
reggae,Reggae,Bitty McLean,It Keeps Rainin',EASY
reggae,Reggae,Pato Banton,Baby Come Back,EASY
reggae,Reggae,Beenie Man,Who Am I,EASY
reggae,Reggae,Elephant Man,"Pon de River, Pon de Bank",EASY
reggae,Reggae,Lucky Dube,Together as One,EASY
reggae,Reggae,Alpha Blondy,Brigadier Sabari,EASY
reggae,Reggae,Magic System,Premier Gaou,EASY
reggae,Reggae,Gentleman,Dem Gone,EASY
reggae,Reggae,Patrice,Soulstorm,EASY
reggae,Reggae,Tiken Jah Fakoly,Françafrique,EASY
reggae,Reggae,Pierpoljak,Je sais pas jouer,EASY
reggae,Reggae,OMI,Cheerleader,EASY
reggae,Reggae,Konshens,Bruk Off Yuh Back,EASY
reggae,Reggae,Bob Marley & The Wailers,Sun Is Shining,EASY
reggae,Reggae,Bob Marley & The Wailers,Waiting in Vain,EASY
reggae,Reggae,Peter Tosh,Legalize It,EASY
reggae,Reggae,Gregory Isaacs,Night Nurse,EASY
reggae,Reggae,Dennis Brown,Money in My Pocket,EASY
reggae,Reggae,Bob Marley & The Wailers,Iron Lion Zion,EASY
reggae,Reggae,Black Uhuru,Guess Who's Coming to Dinner,EASY
reggae,Reggae,Steel Pulse,Your House,EASY
reggae,Reggae,Third World,Now That We Found Love,EASY
reggae,Reggae,Diana King,Shy Guy,EASY
reggae,Reggae,Bitty McLean,Dedicated to the One I Love,EASY
reggae,Reggae,Maxi Priest,Wild World,EASY
reggae,Reggae,Shaggy,In the Summertime,EASY
reggae,Reggae,Sean Paul,No Lie,EASY
reggae,Reggae,Sean Paul,Cheap Thrills (feat.),EASY
reggae,Reggae,Cham,Ghetto Story,EASY
