slug,playlist,artist,title,level
rock,Rock,Queen,Bohemian Rhapsody,EASY
rock,Rock,Queen,We Will Rock You,EASY
rock,Rock,Queen,We Are the Champions,EASY
rock,Rock,Queen,Don't Stop Me Now,EASY
rock,Rock,Queen,Another One Bites the Dust,EASY
rock,Rock,AC/DC,Highway to Hell,EASY
rock,Rock,AC/DC,Back in Black,EASY
rock,Rock,AC/DC,Thunderstruck,EASY
rock,Rock,AC/DC,T.N.T.,EASY
rock,Rock,Guns N' Roses,Sweet Child O' Mine,EASY
rock,Rock,Guns N' Roses,November Rain,EASY
rock,Rock,Guns N' Roses,Welcome to the Jungle,EASY
rock,Rock,Guns N' Roses,Paradise City,EASY
rock,Rock,Nirvana,Smells Like Teen Spirit,EASY
rock,Rock,Nirvana,Come as You Are,EASY
rock,Rock,Led Zeppelin,Stairway to Heaven,EASY
rock,Rock,Led Zeppelin,Whole Lotta Love,EASY
rock,Rock,Led Zeppelin,Immigrant Song,EASY
rock,Rock,The Beatles,Hey Jude,EASY
rock,Rock,The Beatles,Come Together,EASY
rock,Rock,The Beatles,Let It Be,EASY
rock,Rock,The Rolling Stones,(I Can't Get No) Satisfaction,EASY
rock,Rock,The Rolling Stones,Paint It Black,EASY
rock,Rock,The Rolling Stones,Angie,EASY
rock,Rock,The Rolling Stones,Start Me Up,EASY
rock,Rock,Bon Jovi,Livin' on a Prayer,EASY
rock,Rock,Bon Jovi,It's My Life,EASY
rock,Rock,Bon Jovi,You Give Love a Bad Name,EASY
rock,Rock,Survivor,Eye of the Tiger,EASY
rock,Rock,Europe,The Final Countdown,EASY
rock,Rock,Journey,Don't Stop Believin',EASY
rock,Rock,Eagles,Hotel California,EASY
rock,Rock,Lynyrd Skynyrd,Sweet Home Alabama,EASY
rock,Rock,Deep Purple,Smoke on the Water,EASY
rock,Rock,The Police,Every Breath You Take,EASY
rock,Rock,The Police,Roxanne,EASY
rock,Rock,U2,With or Without You,EASY
rock,Rock,U2,Sunday Bloody Sunday,EASY
rock,Rock,U2,Beautiful Day,EASY
rock,Rock,The Who,Baba O'Riley,EASY
rock,Rock,Aerosmith,Walk This Way,EASY
rock,Rock,Aerosmith,Dream On,EASY
rock,Rock,Aerosmith,I Don't Want to Miss a Thing,EASY
rock,Rock,Metallica,Enter Sandman,EASY
rock,Rock,Metallica,Nothing Else Matters,EASY
rock,Rock,Red Hot Chili Peppers,Californication,EASY
rock,Rock,Red Hot Chili Peppers,Under the Bridge,EASY
rock,Rock,Red Hot Chili Peppers,By the Way,EASY
rock,Rock,The White Stripes,Seven Nation Army,EASY
rock,Rock,The Killers,Mr. Brightside,EASY
rock,Rock,Oasis,Wonderwall,EASY
rock,Rock,Oasis,Don't Look Back in Anger,EASY
rock,Rock,Green Day,American Idiot,EASY
rock,Rock,Green Day,Boulevard of Broken Dreams,EASY
rock,Rock,Linkin Park,In the End,EASY
rock,Rock,Linkin Park,Numb,EASY
rock,Rock,Foo Fighters,Everlong,EASY
rock,Rock,Foo Fighters,Learn to Fly,EASY
rock,Rock,Pearl Jam,Alive,EASY
rock,Rock,Blur,Song 2,EASY
rock,Rock,Toto,Africa,EASY
rock,Rock,Dire Straits,Sultans of Swing,EASY
rock,Rock,Dire Straits,Money for Nothing,EASY
rock,Rock,David Bowie,Heroes,EASY
rock,Rock,David Bowie,Let's Dance,EASY
rock,Rock,The Cranberries,Zombie,EASY
rock,Rock,Scorpions,Wind of Change,EASY
rock,Rock,Scorpions,Rock You Like a Hurricane,EASY
rock,Rock,Kiss,I Was Made for Lovin' You,EASY
rock,Rock,Twisted Sister,We're Not Gonna Take It,EASY
rock,Rock,Joan Jett & the Blackhearts,I Love Rock 'n' Roll,EASY
rock,Rock,The Clash,Should I Stay or Should I Go,EASY
rock,Rock,Ramones,Blitzkrieg Bop,EASY
rock,Rock,Bruce Springsteen,Born to Run,EASY
rock,Rock,Bruce Springsteen,Dancing in the Dark,EASY
rock,Rock,Bryan Adams,Summer of '69,EASY
rock,Rock,Creedence Clearwater Revival,Have You Ever Seen the Rain,EASY
rock,Rock,Jimi Hendrix,Purple Haze,EASY
rock,Rock,Van Halen,Jump,EASY
rock,Rock,ZZ Top,Gimme All Your Lovin',EASY
rock,Rock,Pink Floyd,"Another Brick in the Wall, Part 2",MEDIUM
rock,Rock,Pink Floyd,Wish You Were Here,MEDIUM
rock,Rock,Pink Floyd,Comfortably Numb,MEDIUM
rock,Rock,Pink Floyd,Money,MEDIUM
rock,Rock,The Doors,Light My Fire,MEDIUM
rock,Rock,The Doors,Riders on the Storm,MEDIUM
rock,Rock,The Doors,Break On Through (To the Other Side),MEDIUM
rock,Rock,Fleetwood Mac,Go Your Own Way,MEDIUM
rock,Rock,Fleetwood Mac,Dreams,MEDIUM
rock,Rock,Fleetwood Mac,The Chain,MEDIUM
rock,Rock,The Beach Boys,Good Vibrations,MEDIUM
rock,Rock,The Beach Boys,God Only Knows,MEDIUM
rock,Rock,Bob Dylan,Like a Rolling Stone,MEDIUM
rock,Rock,Bob Dylan,Knockin' on Heaven's Door,MEDIUM
rock,Rock,Neil Young,Heart of Gold,MEDIUM
rock,Rock,Neil Young,Rockin' in the Free World,MEDIUM
rock,Rock,The Animals,The House of the Rising Sun,MEDIUM
rock,Rock,Steppenwolf,Born to Be Wild,MEDIUM
rock,Rock,Boston,More Than a Feeling,MEDIUM
rock,Rock,Kansas,Carry On Wayward Son,MEDIUM
rock,Rock,Kansas,Dust in the Wind,MEDIUM
rock,Rock,Heart,Barracuda,MEDIUM
rock,Rock,Heart,Alone,MEDIUM
rock,Rock,Whitesnake,Here I Go Again,MEDIUM
rock,Rock,Def Leppard,Pour Some Sugar on Me,MEDIUM
rock,Rock,Mötley Crüe,Kickstart My Heart,MEDIUM
rock,Rock,Poison,Every Rose Has Its Thorn,MEDIUM
rock,Rock,Bon Jovi,Always,MEDIUM
rock,Rock,Cheap Trick,I Want You to Want Me,MEDIUM
rock,Rock,Foreigner,I Want to Know What Love Is,MEDIUM
rock,Rock,Foreigner,Cold as Ice,MEDIUM
rock,Rock,Styx,Come Sail Away,MEDIUM
rock,Rock,REO Speedwagon,Can't Fight This Feeling,MEDIUM
rock,Rock,Rush,Tom Sawyer,MEDIUM
rock,Rock,Rush,The Spirit of Radio,MEDIUM
rock,Rock,Yes,Owner of a Lonely Heart,MEDIUM
rock,Rock,Genesis,Land of Confusion,MEDIUM
rock,Rock,Genesis,Invisible Touch,MEDIUM
rock,Rock,Phil Collins,In the Air Tonight,MEDIUM
rock,Rock,Tears for Fears,Everybody Wants to Rule the World,MEDIUM
rock,Rock,Tears for Fears,Shout,MEDIUM
rock,Rock,Simple Minds,Don't You (Forget About Me),MEDIUM
rock,Rock,INXS,Need You Tonight,MEDIUM
rock,Rock,INXS,Never Tear Us Apart,MEDIUM
rock,Rock,The Cure,Friday I'm in Love,MEDIUM
rock,Rock,The Cure,Boys Don't Cry,MEDIUM
rock,Rock,The Smiths,This Charming Man,MEDIUM
rock,Rock,The Smiths,There Is a Light That Never Goes Out,MEDIUM
rock,Rock,Depeche Mode,Personal Jesus,MEDIUM
rock,Rock,Depeche Mode,Enjoy the Silence,MEDIUM
rock,Rock,Joy Division,Love Will Tear Us Apart,MEDIUM
rock,Rock,Talking Heads,Once in a Lifetime,MEDIUM
rock,Rock,Talking Heads,Psycho Killer,MEDIUM
rock,Rock,Blondie,Heart of Glass,MEDIUM
rock,Rock,Blondie,Call Me,MEDIUM
rock,Rock,Blondie,One Way or Another,MEDIUM
rock,Rock,The Cars,Just What I Needed,MEDIUM
rock,Rock,Radiohead,Creep,MEDIUM
rock,Rock,Radiohead,Karma Police,MEDIUM
rock,Rock,Muse,Uprising,MEDIUM
rock,Rock,Muse,Supermassive Black Hole,MEDIUM
rock,Rock,Muse,Hysteria,MEDIUM
rock,Rock,Arctic Monkeys,Do I Wanna Know?,MEDIUM
rock,Rock,Arctic Monkeys,R U Mine?,MEDIUM
rock,Rock,Franz Ferdinand,Take Me Out,MEDIUM
rock,Rock,The Strokes,Last Nite,MEDIUM
rock,Rock,The Strokes,Reptilia,MEDIUM
rock,Rock,Kings of Leon,Sex on Fire,MEDIUM
rock,Rock,Kings of Leon,Use Somebody,MEDIUM
rock,Rock,The Black Keys,Lonely Boy,MEDIUM
rock,Rock,Jet,Are You Gonna Be My Girl,MEDIUM
rock,Rock,Kasabian,Fire,MEDIUM
rock,Rock,The Verve,Bitter Sweet Symphony,MEDIUM
rock,Rock,R.E.M.,Losing My Religion,MEDIUM
rock,Rock,R.E.M.,Everybody Hurts,MEDIUM
rock,Rock,The Pretenders,Brass in Pocket,MEDIUM
rock,Rock,Pat Benatar,Heartbreaker,MEDIUM
rock,Rock,Survivor,Burning Heart,MEDIUM
rock,Rock,Roxette,The Look,MEDIUM
rock,Rock,The Velvet Underground,Sweet Jane,EXPERT
rock,Rock,Cream,Sunshine of Your Love,EXPERT
rock,Rock,Cream,White Room,EXPERT
rock,Rock,The Yardbirds,For Your Love,EXPERT
rock,Rock,Free,All Right Now,EXPERT
rock,Rock,Bad Company,Feel Like Makin' Love,EXPERT
rock,Rock,Thin Lizzy,The Boys Are Back in Town,EXPERT
rock,Rock,Thin Lizzy,Whiskey in the Jar,EXPERT
rock,Rock,UFO,Doctor Doctor,EXPERT
rock,Rock,Rainbow,Since You Been Gone,EXPERT
rock,Rock,Dio,Holy Diver,EXPERT
rock,Rock,Black Sabbath,Paranoid,EXPERT
rock,Rock,Black Sabbath,Iron Man,EXPERT
rock,Rock,Black Sabbath,War Pigs,EXPERT
rock,Rock,Judas Priest,Breaking the Law,EXPERT
rock,Rock,Judas Priest,Painkiller,EXPERT
rock,Rock,Iron Maiden,The Trooper,EXPERT
rock,Rock,Iron Maiden,Run to the Hills,EXPERT
rock,Rock,Iron Maiden,Fear of the Dark,EXPERT
rock,Rock,Motörhead,Ace of Spades,EXPERT
rock,Rock,Mr. Big,To Be with You,EXPERT
rock,Rock,Extreme,More Than Words,EXPERT
rock,Rock,Skid Row,18 and Life,EXPERT
