slug,playlist,artist,title,level
70s,Années 70,ABBA,Waterloo,EASY
70s,Années 70,Bee Gees,Stayin' Alive,EASY
70s,Années 70,Boney M.,Daddy Cool,EASY
70s,Années 70,Elton John,Rocket Man,EASY
70s,Années 70,Rod Stewart,Sailing,EASY
70s,Années 70,Queen,Bohemian Rhapsody,EASY
70s,Années 70,Eagles,Hotel California,EASY
70s,Années 70,David Bowie,Heroes,EASY
70s,Années 70,Donna Summer,I Feel Love,EASY
70s,Années 70,Gloria Gaynor,I Will Survive,EASY
70s,Années 70,Chic,Le Freak,EASY
70s,Années 70,Village People,Y.M.C.A.,EASY
70s,Années 70,"Earth, Wind & Fire",September,EASY
70s,Années 70,Stevie Wonder,Superstition,EASY
70s,Années 70,The Jackson 5,I Want You Back,EASY
70s,Années 70,Fleetwood Mac,Dreams,EASY
70s,Années 70,Bob Marley,"No Woman, No Cry",EASY
70s,Années 70,Kiss,I Was Made for Lovin' You,EASY
70s,Années 70,Blondie,Heart of Glass,EASY
70s,Années 70,The Bee Gees,Night Fever,EASY
70s,Années 70,Led Zeppelin,Kashmir,MEDIUM
70s,Années 70,Pink Floyd,Wish You Were Here,MEDIUM
70s,Années 70,Deep Purple,Smoke on the Water,MEDIUM
70s,Années 70,Black Sabbath,Paranoid,MEDIUM
70s,Années 70,The Who,Baba O'Riley,MEDIUM
70s,Années 70,Lynyrd Skynyrd,Free Bird,MEDIUM
70s,Années 70,Steve Miller Band,The Joker,MEDIUM
70s,Années 70,Fleetwood Mac,Go Your Own Way,MEDIUM
70s,Années 70,Eagles,Take It Easy,MEDIUM
70s,Années 70,Supertramp,Bloody Well Right,MEDIUM
70s,Années 70,Electric Light Orchestra,Evil Woman,MEDIUM
70s,Années 70,10cc,I'm Not in Love,MEDIUM
70s,Années 70,Roxy Music,Love Is the Drug,MEDIUM
70s,Années 70,T. Rex,Get It On,MEDIUM
70s,Années 70,Slade,Cum On Feel the Noize,MEDIUM
70s,Années 70,Sweet,Ballroom Blitz,MEDIUM
70s,Années 70,Mud,Tiger Feet,MEDIUM
70s,Années 70,Wizzard,See My Baby Jive,MEDIUM
70s,Années 70,Status Quo,Down Down,MEDIUM
70s,Années 70,Thin Lizzy,The Boys Are Back in Town,MEDIUM
70s,Années 70,Bad Company,Can't Get Enough,MEDIUM
70s,Années 70,Free,All Right Now,MEDIUM
70s,Années 70,Boston,More Than a Feeling,MEDIUM
