slug,playlist,artist,title,level
2020s,Années 2020,The Weeknd,Blinding Lights,EASY
2020s,Années 2020,Dua Lipa,Levitating,EASY
2020s,Années 2020,Dua Lipa,Don't Start Now,EASY
2020s,Années 2020,Harry Styles,As It Was,EASY
2020s,Années 2020,Harry Styles,Watermelon Sugar,EASY
2020s,Années 2020,Olivia Rodrigo,drivers license,EASY
2020s,Années 2020,Olivia Rodrigo,good 4 u,EASY
2020s,Années 2020,Olivia Rodrigo,vampire,EASY
2020s,Années 2020,Billie Eilish,Happier Than Ever,EASY
2020s,Années 2020,Billie Eilish,What Was I Made For?,EASY
2020s,Années 2020,Billie Eilish,BIRDS OF A FEATHER,EASY
2020s,Années 2020,Glass Animals,Heat Waves,EASY
2020s,Années 2020,Lil Nas X,MONTERO (Call Me by Your Name),EASY
2020s,Années 2020,Lil Nas X,INDUSTRY BABY,EASY
2020s,Années 2020,Doja Cat,Say So,EASY
2020s,Années 2020,Doja Cat,Woman,EASY
2020s,Années 2020,Doja Cat,Paint the Town Red,EASY
2020s,Années 2020,SZA,Kill Bill,EASY
2020s,Années 2020,SZA,Snooze,EASY
2020s,Années 2020,Miley Cyrus,Flowers,EASY
2020s,Années 2020,Taylor Swift,Anti-Hero,EASY
2020s,Années 2020,Taylor Swift,Cruel Summer,EASY
2020s,Années 2020,Sabrina Carpenter,Espresso,EASY
2020s,Années 2020,Sabrina Carpenter,Please Please Please,EASY
2020s,Années 2020,Chappell Roan,"Good Luck, Babe!",EASY
2020s,Années 2020,Chappell Roan,Pink Pony Club,EASY
2020s,Années 2020,Bad Bunny,Tití Me Preguntó,EASY
2020s,Années 2020,Bad Bunny,Me Porto Bonito,EASY
2020s,Années 2020,Karol G,TQG,EASY
2020s,Années 2020,Karol G,Provenza,EASY
2020s,Années 2020,Shakira & Bizarrap,Bzrp Music Sessions #53,EASY
2020s,Années 2020,Peso Pluma & Eslabon Armado,Ella Baila Sola,EASY
2020s,Années 2020,Manuel Turizo,La Bachata,EASY
2020s,Années 2020,Rema & Selena Gomez,Calm Down,EASY
2020s,Années 2020,CKay,Love Nwantiti (ah ah ah),EASY
2020s,Années 2020,Burna Boy,Last Last,EASY
2020s,Années 2020,Tyla,Water,EASY
2020s,Années 2020,Ed Sheeran,Bad Habits,EASY
2020s,Années 2020,Ed Sheeran,Shivers,EASY
2020s,Années 2020,The Kid LAROI & Justin Bieber,Stay,EASY
2020s,Années 2020,Justin Bieber,Peaches,EASY
2020s,Années 2020,Justin Bieber,Ghost,EASY
2020s,Années 2020,Drake,Jimmy Cooks,EASY
2020s,Années 2020,Drake & 21 Savage,Rich Flex,EASY
2020s,Années 2020,Future & Metro Boomin,Like That,EASY
2020s,Années 2020,Kendrick Lamar,Not Like Us,EASY
2020s,Années 2020,Travis Scott,FE!N,EASY
2020s,Années 2020,Jack Harlow,Industry Baby,EASY
2020s,Années 2020,Jack Harlow,First Class,EASY
2020s,Années 2020,Cardi B,Up,EASY
2020s,Années 2020,Megan Thee Stallion,Savage,EASY
2020s,Années 2020,Latto,Big Energy,EASY
2020s,Années 2020,Ice Spice & Nicki Minaj,Barbie World,EASY
2020s,Années 2020,Nicki Minaj,Super Freaky Girl,EASY
2020s,Années 2020,Post Malone,Circles,EASY
2020s,Années 2020,Post Malone & Morgan Wallen,I Had Some Help,EASY
2020s,Années 2020,Morgan Wallen,Last Night,EASY
2020s,Années 2020,Luke Combs,Fast Car,EASY
2020s,Années 2020,Zach Bryan,Something in the Orange,EASY
2020s,Années 2020,Noah Kahan,Stick Season,EASY
2020s,Années 2020,Teddy Swims,Lose Control,EASY
2020s,Années 2020,Benson Boone,Beautiful Things,EASY
2020s,Années 2020,Hozier,Too Sweet,EASY
2020s,Années 2020,Tate McRae,Greedy,EASY
2020s,Années 2020,Tate McRae,Exes,EASY
2020s,Années 2020,David Guetta & Bebe Rexha,I'm Good (Blue),EASY
2020s,Années 2020,Calvin Harris & Dua Lipa,One Kiss,EASY
2020s,Années 2020,Meduza,Piece of Your Heart,EASY
2020s,Années 2020,Joel Corry,Head & Heart,EASY
2020s,Années 2020,Acraze,Do It to It,EASY
2020s,Années 2020,Lady Gaga & Ariana Grande,Rain on Me,EASY
2020s,Années 2020,Ariana Grande,positions,EASY
2020s,Années 2020,Ariana Grande,7 rings,EASY
2020s,Années 2020,Olivia Rodrigo,vampire (radio),EASY
2020s,Années 2020,Måneskin,Beggin',EASY
2020s,Années 2020,Imagine Dragons,Bones,EASY
2020s,Années 2020,OneRepublic,I Ain't Worried,EASY
2020s,Années 2020,Coldplay,My Universe,EASY
2020s,Années 2020,BTS,Dynamite,EASY
2020s,Années 2020,BTS,Butter,EASY
2020s,Années 2020,NewJeans,Super Shy,EASY
2020s,Années 2020,Dua Lipa,Houdini,MEDIUM
2020s,Années 2020,Dua Lipa,Physical,MEDIUM
2020s,Années 2020,The Weeknd,Save Your Tears,MEDIUM
2020s,Années 2020,The Weeknd,Take My Breath,MEDIUM
2020s,Années 2020,Doja Cat,Kiss Me More,MEDIUM
2020s,Années 2020,Doja Cat,Agora Hills,MEDIUM
2020s,Années 2020,SZA,Good Days,MEDIUM
2020s,Années 2020,Olivia Rodrigo,traitor,MEDIUM
2020s,Années 2020,Olivia Rodrigo,deja vu,MEDIUM
2020s,Années 2020,Sabrina Carpenter,Taste,MEDIUM
2020s,Années 2020,Chappell Roan,HOT TO GO!,MEDIUM
2020s,Années 2020,Tate McRae,you broke me first,MEDIUM
2020s,Années 2020,Gracie Abrams,Close to You,MEDIUM
2020s,Années 2020,Conan Gray,Heather,MEDIUM
2020s,Années 2020,Lana Del Rey,Say Yes to Heaven,MEDIUM
2020s,Années 2020,Mitski,My Love Mine All Mine,MEDIUM
2020s,Années 2020,Lizzo,About Damn Time,MEDIUM
2020s,Années 2020,Lizzo,Good as Hell,MEDIUM
2020s,Années 2020,Megan Thee Stallion & Beyoncé,Savage (Remix),MEDIUM
2020s,Années 2020,Beyoncé,Break My Soul,MEDIUM
2020s,Années 2020,Beyoncé,TEXAS HOLD 'EM,MEDIUM
2020s,Années 2020,Rihanna,Lift Me Up,MEDIUM
2020s,Années 2020,Drake,Laugh Now Cry Later,MEDIUM
2020s,Années 2020,Drake,Toosie Slide,MEDIUM
2020s,Années 2020,Lil Baby,The Bigger Picture,MEDIUM
2020s,Années 2020,Roddy Ricch,The Box,MEDIUM
2020s,Années 2020,Pop Smoke,What You Know Bout Love,MEDIUM
2020s,Années 2020,Pop Smoke,Dior,MEDIUM
2020s,Années 2020,DaBaby,Rockstar,MEDIUM
2020s,Années 2020,Polo G,Rapstar,MEDIUM
2020s,Années 2020,Lil Durk & Drake,Laugh Now Cry Later,MEDIUM
2020s,Années 2020,Central Cee,Doja,MEDIUM
2020s,Années 2020,Central Cee & Dave,Sprinter,MEDIUM
2020s,Années 2020,Dave,Location,MEDIUM
2020s,Années 2020,Stormzy,Vossi Bop,MEDIUM
2020s,Années 2020,PinkPantheress & Ice Spice,Boy's a Liar Pt. 2,MEDIUM
2020s,Années 2020,Ice Spice,Munch (Feelin' U),MEDIUM
