genre,artist,title,level
rock,Queen,Bohemian Rhapsody,facile
rock,AC/DC,Highway to Hell,facile
rock,Survivor,Eye of the Tiger,facile
rock,Guns N' Roses,Sweet Child o' Mine,facile
rock,Nirvana,Smells Like Teen Spirit,facile
rock,The White Stripes,Seven Nation Army,facile
rock,Toto,Africa,facile
rock,Journey,Don't Stop Believin',facile
rock,Bon Jovi,Livin' on a Prayer,facile
rock,The Police,Every Breath You Take,facile
rock,Europe,The Final Countdown,facile
rock,Eagles,Hotel California,facile
rock,Deep Purple,Smoke on the Water,facile
rock,Queen,We Will Rock You,facile
disco-funk,Bee Gees,Stayin' Alive,facile
disco-funk,Earth Wind & Fire,September,facile
disco-funk,Gloria Gaynor,I Will Survive,facile
disco-funk,Donna Summer,Hot Stuff,facile
disco-funk,Kool & The Gang,Celebration,facile
disco-funk,Sister Sledge,We Are Family,facile
disco-funk,Village People,Y.M.C.A.,facile
disco-funk,ABBA,Dancing Queen,facile
disco-funk,Chic,Le Freak,facile
disco-funk,KC and the Sunshine Band,That's the Way (I Like It),facile
disco-funk,Diana Ross,I'm Coming Out,facile
disco-funk,Michael Jackson,Don't Stop 'Til You Get Enough,facile
soul-rnb,Aretha Franklin,Respect,facile
soul-rnb,Marvin Gaye,I Heard It Through the Grapevine,facile
soul-rnb,Stevie Wonder,Superstition,facile
soul-rnb,Otis Redding,(Sittin' On) The Dock of the Bay,facile
soul-rnb,Ray Charles,Hit the Road Jack,facile
soul-rnb,James Brown,I Got You (I Feel Good),facile
soul-rnb,Whitney Houston,I Wanna Dance with Somebody,facile
soul-rnb,Beyoncé,Crazy in Love,facile
soul-rnb,Rihanna,Umbrella,facile
soul-rnb,Usher,Yeah!,facile
soul-rnb,Alicia Keys,No One,facile
soul-rnb,Destiny's Child,Survivor,facile
electro-edm,Avicii,Wake Me Up,facile
electro-edm,David Guetta,Titanium,facile
electro-edm,Daft Punk,One More Time,facile
electro-edm,Calvin Harris,Summer,facile
electro-edm,Swedish House Mafia,Don't You Worry Child,facile
electro-edm,The Chainsmokers,Closer,facile
electro-edm,Alan Walker,Faded,facile
electro-edm,Martin Garrix,Animals,facile
electro-edm,Eric Prydz,Call on Me,facile
electro-edm,Darude,Sandstorm,facile
electro-edm,Robin Schulz,Prayer in C,facile
electro-edm,Major Lazer,Lean On,facile
french-touch,Daft Punk,Around the World,facile
french-touch,Stardust,Music Sounds Better with You,facile
french-touch,Modjo,Lady (Hear Me Tonight),facile
french-touch,Justice,D.A.N.C.E.,facile
french-touch,Bob Sinclar,Love Generation,facile
french-touch,David Guetta,Love Don't Let Me Go,facile
french-touch,Cassius,1999,facile
french-touch,Daft Punk,Get Lucky,facile
french-touch,Bob Sinclar,World Hold On,facile
french-touch,Martin Solveig,Hello,facile
reggae,Bob Marley,No Woman No Cry,facile
reggae,Bob Marley,Could You Be Loved,facile
reggae,Bob Marley,Three Little Birds,facile
reggae,Bob Marley,Jamming,facile
reggae,UB40,Red Red Wine,facile
reggae,Inner Circle,Sweat (A La La La La Long),facile
reggae,Shaggy,It Wasn't Me,facile
reggae,Shaggy,Boombastic,facile
reggae,Snow,Informer,facile
reggae,Ini Kamoze,Here Comes the Hotstepper,facile
reggae,Eddy Grant,Electric Avenue,facile
reggae,Desmond Dekker,Israelites,facile
country,John Denver,Take Me Home Country Roads,facile
country,Dolly Parton,Jolene,facile
country,Dolly Parton,9 to 5,facile
country,Johnny Cash,Ring of Fire,facile
country,Kenny Rogers,The Gambler,facile
country,Shania Twain,Man! I Feel Like a Woman!,facile
country,Willie Nelson,On the Road Again,facile
country,Lynyrd Skynyrd,Sweet Home Alabama,facile
country,Taylor Swift,Love Story,facile
country,Carrie Underwood,Before He Cheats,facile
country,Garth Brooks,Friends in Low Places,facile
country,Johnny Cash,I Walk the Line,facile
metal,Metallica,Enter Sandman,facile
metal,Metallica,Nothing Else Matters,facile
metal,AC/DC,Thunderstruck,facile
metal,Ozzy Osbourne,Crazy Train,facile
metal,Black Sabbath,Paranoid,facile
metal,Iron Maiden,The Trooper,facile
metal,Rammstein,Du Hast,facile
