playlist,work,aliases,artist,title,level
Génériques Disney & Pixar,The Lion King,Le Roi Lion,Elton John,Circle of Life,EASY
Génériques Disney & Pixar,The Lion King,Le Roi Lion,,Hakuna Matata,EASY
Génériques Disney & Pixar,The Lion King,Le Roi Lion,Elton John,Can You Feel the Love Tonight,EASY
Génériques Disney & Pixar,Aladdin,Aladdin,Peabo Bryson & Regina Belle,A Whole New World,EASY
Génériques Disney & Pixar,Aladdin,Aladdin,Robin Williams,Friend Like Me,MEDIUM
Génériques Disney & Pixar,Aladdin,Aladdin,,Prince Ali,MEDIUM
Génériques Disney & Pixar,Frozen,La Reine des Neiges|Reine des Neiges,Idina Menzel,Let It Go,EASY
Génériques Disney & Pixar,Frozen,La Reine des Neiges,,Do You Want to Build a Snowman?,EASY
Génériques Disney & Pixar,Frozen,La Reine des Neiges,,Love Is an Open Door,MEDIUM
Génériques Disney & Pixar,Frozen,La Reine des Neiges,,For the First Time in Forever,MEDIUM
Génériques Disney & Pixar,Frozen 2,La Reine des Neiges 2,Idina Menzel,Into the Unknown,EASY
Génériques Disney & Pixar,Beauty and the Beast,La Belle et la Bête,Celine Dion & Peabo Bryson,Beauty and the Beast,EASY
Génériques Disney & Pixar,Beauty and the Beast,La Belle et la Bête,,Be Our Guest,MEDIUM
Génériques Disney & Pixar,Beauty and the Beast,La Belle et la Bête,,Gaston,MEDIUM
Génériques Disney & Pixar,The Little Mermaid,La Petite Sirène,,Under the Sea,EASY
Génériques Disney & Pixar,The Little Mermaid,La Petite Sirène,,Part of Your World,EASY
Génériques Disney & Pixar,The Little Mermaid,La Petite Sirène,,Kiss the Girl,MEDIUM
Génériques Disney & Pixar,The Little Mermaid,La Petite Sirène,,Poor Unfortunate Souls,HARD
Génériques Disney & Pixar,Moana,Vaiana,Auliʻi Cravalho,How Far I'll Go,EASY
Génériques Disney & Pixar,Moana,Vaiana,Dwayne Johnson,You're Welcome,EASY
Génériques Disney & Pixar,Moana,Vaiana,,We Know the Way,MEDIUM
Génériques Disney & Pixar,Moana,Vaiana,Jemaine Clement,Shiny,HARD
Génériques Disney & Pixar,Mulan,Mulan,,Reflection,MEDIUM
Génériques Disney & Pixar,Mulan,Mulan,Donny Osmond,I'll Make a Man Out of You,EASY
Génériques Disney & Pixar,Tangled,Raiponce,Mandy Moore & Zachary Levi,I See the Light,MEDIUM
Génériques Disney & Pixar,Tangled,Raiponce,Mandy Moore,When Will My Life Begin,HARD
Génériques Disney & Pixar,Pocahontas,Pocahontas,,Colors of the Wind,MEDIUM
Génériques Disney & Pixar,Hercules,Hercule,,Go the Distance,MEDIUM
Génériques Disney & Pixar,Hercules,Hercule,,Zero to Hero,MEDIUM
Génériques Disney & Pixar,The Jungle Book,Le Livre de la jungle,,The Bare Necessities,EASY
Génériques Disney & Pixar,The Jungle Book,Le Livre de la jungle,,I Wan'na Be Like You,MEDIUM
