slug,playlist,artist,title,level
quebec,Québec & Franco,Marie-Mai,CNJ,MEDIUM
quebec,Québec & Franco,Les Trois Accords,Saskatchewan,MEDIUM
quebec,Québec & Franco,2Frères,Plus fort,MEDIUM
quebec,Québec & Franco,Bleu Jeans Bleu,Coton ouaté,MEDIUM
quebec,Québec & Franco,Les Sœurs Boulay,Mappemonde,MEDIUM
quebec,Québec & Franco,Vincent Vallières,On va s'aimer encore,MEDIUM
quebec,Québec & Franco,Koriass,Petites Mains Précieuses,MEDIUM
quebec,Québec & Franco,FouKi,Copilote,MEDIUM
quebec,Québec & Franco,Loud,Fallait y aller,MEDIUM
quebec,Québec & Franco,Patrice Michaud,Mécaniques générales,MEDIUM
quebec,Québec & Franco,Salomé Leclerc,Tourne encore,MEDIUM
quebec,Québec & Franco,Daniel Boucher,La désise,MEDIUM
quebec,Québec & Franco,Plume Latraverse,Bobépine,EXPERT
quebec,Québec & Franco,Richard Desjardins,Tu m'aimes-tu,EXPERT
quebec,Québec & Franco,Paul Piché,Heureux d'un printemps,EXPERT
quebec,Québec & Franco,Michel Rivard,Le cœur de ma vie,EXPERT
quebec,Québec & Franco,Karkwa,Le pyromane,EXPERT
quebec,Québec & Franco,Malajube,Montréal -40°C,EXPERT
quebec,Québec & Franco,Galaxie,Camouflar,EXPERT
quebec,Québec & Franco,Loco Locass,Libérez-nous des libéraux,EXPERT
quebec,Québec & Franco,Dubmatique,La force de comprendre,EXPERT
rap-fr-2020,Hip-Hop FR 2020,Aya Nakamura,Djadja,EASY
rap-fr-2020,Hip-Hop FR 2020,Aya Nakamura,Pookie,EASY
rap-fr-2020,Hip-Hop FR 2020,Gims,Bella,EASY
rap-fr-culte,Rap Français,MC Solaar,Bouge de là,EASY
rap-fr-culte,Rap Français,IAM,Je danse le Mia,EASY
rap-fr-culte,Rap Français,NTM,That's My People,EASY
rap-fr-culte,Rap Français,113,Tonton du bled,EASY
rap-fr-culte,Rap Français,Diam's,La boulette,EASY
rap-fr-culte,Rap Français,Stromae,Alors on danse,EASY
rap-fr-culte,Rap Français,Sefyu,Molotov 4,EASY
rap-fr-culte,Rap Français,Soprano,Cosmo,EASY
rap-fr-culte,Rap Français,Oxmo Puccino,Le jour où tu partiras,EXPERT
rap-fr-culte,Rap Français,Fonky Family,Sans rémission,EXPERT
rap-fr-culte,Rap Français,Lunatic,Le crime paie,EXPERT
rap-fr-culte,Rap Français,Kery James,Banlieusards,EXPERT
rap-fr-culte,Rap Français,Booba,Tombé pour elle,EXPERT
rap-fr-culte,Rap Français,Rohff,Qui est l'exemple ?,EXPERT
rap-fr-culte,Rap Français,Sniper,Gravé dans la roche,EXPERT
rap-fr-culte,Rap Français,Ärsenik,Boxe avec les mots,EXPERT
rap-fr-culte,Rap Français,Nekfeu,On verra,EXPERT
rap-fr-culte,Rap Français,Lomepal,Yeux disent,EXPERT
rap-fr-culte,Rap Français,PNL,Le monde ou rien,EXPERT
rap-fr-culte,Rap Français,Damso,Macarena,EXPERT
rap-fr-culte,Rap Français,Médine,Don't Laïk,EXPERT
rap-fr-culte,Rap Français,Vald,Désaccordé,EXPERT
rap-fr-culte,Rap Français,Casseurs Flowters,Bloqué,EXPERT
series-tv,Génériques Séries TV,Générique,Friends (I'll Be There for You),EASY
series-tv,Génériques Séries TV,Générique,Game of Thrones,EASY
series-tv,Génériques Séries TV,Générique,Breaking Bad,EASY
series-tv,Génériques Séries TV,Générique,The Simpsons,EASY
series-tv,Génériques Séries TV,Générique,Stranger Things,EASY
series-tv,Génériques Séries TV,Générique,Peaky Blinders (Red Right Hand),EASY
series-tv,Génériques Séries TV,Générique,The Office,EASY
series-tv,Génériques Séries TV,Générique,Sex and the City,EASY
series-tv,Génériques Séries TV,Générique,Prison Break,EASY
series-tv,Génériques Séries TV,Générique,Dexter,EASY
series-tv,Génériques Séries TV,Générique,House MD (Teardrop),EASY
series-tv,Génériques Séries TV,Générique,Twin Peaks,EXPERT
series-tv,Génériques Séries TV,Générique,The X-Files,EXPERT
series-tv,Génériques Séries TV,Générique,Six Feet Under,EXPERT
series-tv,Génériques Séries TV,Générique,Mad Men,EXPERT
series-tv,Génériques Séries TV,Générique,True Detective (Far from Any Road),EXPERT
series-tv,Génériques Séries TV,Générique,The Wire,EXPERT
series-tv,Génériques Séries TV,Générique,Westworld,EXPERT
series-tv,Génériques Séries TV,Générique,Succession,EXPERT
series-tv,Génériques Séries TV,Générique,The Crown,EXPERT
series-tv,Génériques Séries TV,Générique,Better Call Saul,EXPERT
series-tv,Génériques Séries TV,Générique,Fargo,EXPERT
disney-vo,Disney VO,Disney,Strangers Like Me (Tarzan),EXPERT
disney-vo,Disney VO,Disney,Son of Man (Tarzan),EXPERT
disney-vo,Disney VO,Disney,Out There (Hunchback),EXPERT
disney-vo,Disney VO,Disney,Hellfire (Hunchback),EXPERT
disney-vo,Disney VO,Disney,God Help the Outcasts (Hunchback),EXPERT
disney-vo,Disney VO,Disney,One Jump Ahead (Aladdin),EXPERT
disney-vo,Disney VO,Disney,Honor to Us All (Mulan),EXPERT
disney-vo,Disney VO,Disney,I'll Make a Man Out of You (Mulan),EXPERT
disney-vo,Disney VO,Disney,Savages (Pocahontas),EXPERT
disney-vo,Disney VO,Disney,If I Never Knew You (Pocahontas),EXPERT
disney-vo,Disney VO,Disney,Reflection (Mulan),EXPERT
disney-vo,Disney VO,Disney,Gaston (Beauty and the Beast),EXPERT
disney-vo,Disney VO,Disney,Be Our Guest (Beauty and the Beast),EXPERT
disney-vo,Disney VO,Disney,Friends on the Other Side (Princess and the Frog),EXPERT
disney-vo,Disney VO,Disney,Almost There (Princess and the Frog),EXPERT
disney-vo,Disney VO,Disney,When Will My Life Begin (Tangled),EXPERT
disney-vo,Disney VO,Disney,Mother Knows Best (Tangled),EXPERT
italie-classique,Italie classique,Toto Cutugno,L'Italiano,EASY
italie-classique,Italie classique,Al Bano & Romina Power,Felicità,EASY
italie-classique,Italie classique,Ricchi e Poveri,Sarà perché ti amo,EASY
italie-classique,Italie classique,Umberto Tozzi,Ti amo,EASY
italie-classique,Italie classique,Domenico Modugno,Volare,EASY
italie-classique,Italie classique,Adriano Celentano,Azzurro,EASY
italie-classique,Italie classique,Raffaella Carrà,A far l'amore comincia tu,EASY
italie-classique,Italie classique,Eros Ramazzotti,Più bella cosa,EASY
italie-classique,Italie classique,Toto Cutugno,Insieme: 1992,EASY
italie-classique,Italie classique,Umberto Tozzi,Gloria,EASY
italie-classique,Italie classique,Fred Buscaglione,Che bambola,EXPERT
italie-classique,Italie classique,Renato Carosone,Tu vuò fà l'americano,EXPERT
italie-classique,Italie classique,Gino Paoli,Il cielo in una stanza,EXPERT
italie-classique,Italie classique,Sergio Endrigo,Canzone per te,EXPERT
italie-classique,Italie classique,Luigi Tenco,Vedrai vedrai,EXPERT
italie-classique,Italie classique,Nilla Pizzi,Grazie dei fiori,EXPERT
italie-classique,Italie classique,Claudio Villa,Granada,EXPERT
italie-classique,Italie classique,Domenico Modugno,Piove (Ciao Ciao Bambina),EXPERT
italie-classique,Italie classique,Mina,Tintarella di luna,EXPERT
french-touch,French Touch & Electro,Daft Punk,Get Lucky,EASY
french-touch,French Touch & Electro,Daft Punk,One More Time,EASY
french-touch,French Touch & Electro,Stardust,Music Sounds Better with You,EASY
french-touch,French Touch & Electro,Modjo,Lady (Hear Me Tonight),EASY
french-touch,French Touch & Electro,Bob Sinclar,Love Generation,EASY
french-touch,French Touch & Electro,David Guetta,Titanium,EASY
french-touch,French Touch & Electro,Justice,D.A.N.C.E.,EASY
french-touch,French Touch & Electro,Martin Solveig,Hello,EASY
french-touch,French Touch & Electro,Cassius,1999,EXPERT
french-touch,French Touch & Electro,Étienne de Crécy,Am I Wrong,EXPERT
french-touch,French Touch & Electro,Mr. Oizo,Flat Beat,EXPERT
french-touch,French Touch & Electro,Vitalic,La Rock 01,EXPERT
french-touch,French Touch & Electro,Breakbot,Baby I'm Yours,EXPERT
french-touch,French Touch & Electro,Gesaffelstein,Pursuit,EXPERT
french-touch,French Touch & Electro,Kavinsky,Nightcall,EXPERT
french-touch,French Touch & Electro,SebastiAn,Embody,EXPERT
french-touch,French Touch & Electro,DJ Mehdi,Signatune,EXPERT
french-touch,French Touch & Electro,Laurent Garnier,The Man with the Red Face,EXPERT
french-touch,French Touch & Electro,Air,Sexy Boy,EXPERT
french-touch,French Touch & Electro,Justice,Genesis,EXPERT
french-touch,French Touch & Electro,Boys Noize,& Down,EXPERT
french-touch,French Touch & Electro,Surkin,White Knight Two,EXPERT
french-touch,French Touch & Electro,Para One,Dundun,EXPERT
