slug,playlist,artist,title,level
kpop,K-Pop,BTS,Dynamite,EASY
kpop,K-Pop,BTS,Butter,EASY
kpop,K-Pop,BTS,Boy with Luv,EASY
kpop,K-Pop,BTS,DNA,EASY
kpop,K-Pop,BTS,Fake Love,EASY
kpop,K-Pop,BTS,IDOL,EASY
kpop,K-Pop,BTS,MIC Drop,EASY
kpop,K-Pop,BTS,Permission to Dance,EASY
kpop,K-Pop,BLACKPINK,DDU-DU DDU-DU,EASY
kpop,K-Pop,BLACKPINK,Kill This Love,EASY
kpop,K-Pop,BLACKPINK,How You Like That,EASY
kpop,K-Pop,BLACKPINK,Pink Venom,EASY
kpop,K-Pop,BLACKPINK,Shut Down,EASY
kpop,K-Pop,BLACKPINK,BOOMBAYAH,EASY
kpop,K-Pop,BLACKPINK,As If It's Your Last,EASY
kpop,K-Pop,BLACKPINK,Lovesick Girls,EASY
kpop,K-Pop,PSY,Gangnam Style,EASY
kpop,K-Pop,PSY,Gentleman,EASY
kpop,K-Pop,TWICE,TT,EASY
kpop,K-Pop,TWICE,Fancy,EASY
kpop,K-Pop,TWICE,What Is Love?,EASY
kpop,K-Pop,TWICE,Cheer Up,EASY
kpop,K-Pop,TWICE,The Feels,EASY
kpop,K-Pop,Stray Kids,God's Menu,EASY
kpop,K-Pop,Stray Kids,MANIAC,EASY
kpop,K-Pop,Stray Kids,S-Class,EASY
kpop,K-Pop,aespa,Next Level,EASY
kpop,K-Pop,aespa,Savage,EASY
kpop,K-Pop,aespa,Spicy,EASY
kpop,K-Pop,aespa,Black Mamba,EASY
kpop,K-Pop,NewJeans,Hype Boy,EASY
kpop,K-Pop,NewJeans,Ditto,EASY
kpop,K-Pop,NewJeans,OMG,EASY
kpop,K-Pop,NewJeans,Super Shy,EASY
kpop,K-Pop,NewJeans,Attention,EASY
kpop,K-Pop,IVE,LOVE DIVE,EASY
kpop,K-Pop,IVE,ELEVEN,EASY
kpop,K-Pop,IVE,After LIKE,EASY
kpop,K-Pop,IVE,I AM,EASY
kpop,K-Pop,LE SSERAFIM,ANTIFRAGILE,EASY
kpop,K-Pop,LE SSERAFIM,UNFORGIVEN,EASY
kpop,K-Pop,(G)I-DLE,TOMBOY,EASY
kpop,K-Pop,(G)I-DLE,Queencard,EASY
kpop,K-Pop,ITZY,WANNABE,EASY
kpop,K-Pop,ITZY,DALLA DALLA,EASY
kpop,K-Pop,Jung Kook,Seven,EASY
kpop,K-Pop,Jung Kook,Standing Next to You,EASY
kpop,K-Pop,Jimin,Like Crazy,EASY
kpop,K-Pop,LISA,MONEY,EASY
kpop,K-Pop,LISA,LALISA,EASY
kpop,K-Pop,JENNIE,SOLO,EASY
kpop,K-Pop,BIGBANG,Fantastic Baby,EASY
kpop,K-Pop,BIGBANG,Bang Bang Bang,EASY
kpop,K-Pop,EXO,Love Shot,EASY
kpop,K-Pop,Red Velvet,Psycho,EASY
kpop,K-Pop,SEVENTEEN,Super,EASY
kpop,K-Pop,TXT,Sugar Rush Ride,EASY
kpop,K-Pop,Girls' Generation,Gee,EASY
kpop,K-Pop,BTS,Spring Day,MEDIUM
kpop,K-Pop,BTS,Blood Sweat & Tears,MEDIUM
kpop,K-Pop,BTS,ON,MEDIUM
kpop,K-Pop,BTS,Black Swan,MEDIUM
kpop,K-Pop,BLACKPINK,Playing with Fire,MEDIUM
kpop,K-Pop,BLACKPINK,Whistle,MEDIUM
kpop,K-Pop,BLACKPINK,Ice Cream,MEDIUM
kpop,K-Pop,TWICE,Likey,MEDIUM
kpop,K-Pop,TWICE,Yes or Yes,MEDIUM
kpop,K-Pop,TWICE,More & More,MEDIUM
kpop,K-Pop,TWICE,I Can't Stop Me,MEDIUM
kpop,K-Pop,Red Velvet,Red Flavor,MEDIUM
kpop,K-Pop,Red Velvet,Bad Boy,MEDIUM
kpop,K-Pop,Red Velvet,Peek-a-Boo,MEDIUM
kpop,K-Pop,EXO,Growl,MEDIUM
kpop,K-Pop,EXO,Call Me Baby,MEDIUM
kpop,K-Pop,EXO,Monster,MEDIUM
kpop,K-Pop,SEVENTEEN,Very Nice,MEDIUM
kpop,K-Pop,SEVENTEEN,HOT,MEDIUM
kpop,K-Pop,SEVENTEEN,God of Music,MEDIUM
kpop,K-Pop,NCT 127,Kick It,MEDIUM
kpop,K-Pop,NCT DREAM,Hot Sauce,MEDIUM
kpop,K-Pop,Stray Kids,Thunderous,MEDIUM
kpop,K-Pop,Stray Kids,Back Door,MEDIUM
kpop,K-Pop,ITZY,LOCO,MEDIUM
kpop,K-Pop,ITZY,Not Shy,MEDIUM
kpop,K-Pop,aespa,Drama,MEDIUM
kpop,K-Pop,IVE,Baddie,MEDIUM
kpop,K-Pop,LE SSERAFIM,FEARLESS,MEDIUM
kpop,K-Pop,LE SSERAFIM,Perfect Night,MEDIUM
kpop,K-Pop,(G)I-DLE,Nxde,MEDIUM
kpop,K-Pop,(G)I-DLE,LATATA,MEDIUM
kpop,K-Pop,MAMAMOO,HIP,MEDIUM
kpop,K-Pop,MAMAMOO,Egotistic,MEDIUM
kpop,K-Pop,TXT,Crown,MEDIUM
kpop,K-Pop,TXT,0X1=LOVESONG,MEDIUM
kpop,K-Pop,ENHYPEN,Bite Me,MEDIUM
kpop,K-Pop,ENHYPEN,Drunk-Dazed,MEDIUM
kpop,K-Pop,ATEEZ,Say My Name,MEDIUM
kpop,K-Pop,ATEEZ,Wonderland,MEDIUM
kpop,K-Pop,Girls' Generation,The Boys,MEDIUM
kpop,K-Pop,Girls' Generation,I Got a Boy,MEDIUM
kpop,K-Pop,Super Junior,"Sorry, Sorry",MEDIUM
kpop,K-Pop,Super Junior,Mr. Simple,MEDIUM
