slug,playlist,artist,title,level
chanson-francaise-classique,Chanson FR Classique,Édith Piaf,La vie en rose,EASY
chanson-francaise-classique,Chanson FR Classique,Édith Piaf,"Non, je ne regrette rien",EASY
chanson-francaise-classique,Chanson FR Classique,Édith Piaf,Milord,EASY
chanson-francaise-classique,Chanson FR Classique,Charles Aznavour,La bohème,EASY
chanson-francaise-classique,Chanson FR Classique,Charles Aznavour,Emmenez-moi,EASY
chanson-francaise-classique,Chanson FR Classique,Jacques Brel,Ne me quitte pas,EASY
chanson-francaise-classique,Chanson FR Classique,Jacques Brel,Amsterdam,EASY
chanson-francaise-classique,Chanson FR Classique,Charles Trenet,La mer,EASY
chanson-francaise-classique,Chanson FR Classique,Charles Trenet,Douce France,EASY
chanson-francaise-classique,Chanson FR Classique,Yves Montand,Les feuilles mortes,EASY
chanson-francaise-classique,Chanson FR Classique,Gilbert Bécaud,Nathalie,EASY
chanson-francaise-classique,Chanson FR Classique,Dalida,Bambino,EASY
chanson-francaise-classique,Chanson FR Classique,Dalida,"Paroles, paroles",EASY
chanson-francaise-classique,Chanson FR Classique,Joe Dassin,Les Champs-Élysées,EASY
chanson-francaise-classique,Chanson FR Classique,Joe Dassin,L'été indien,EASY
chanson-francaise-classique,Chanson FR Classique,Léo Ferré,Avec le temps,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Georges Brassens,Les copains d'abord,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Georges Brassens,La mauvaise réputation,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Barbara,L'aigle noir,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Barbara,"Dis, quand reviendras-tu ?",MEDIUM
chanson-francaise-classique,Chanson FR Classique,Juliette Gréco,Sous le ciel de Paris,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Claude Nougaro,Toulouse,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Jean Ferrat,La montagne,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Serge Reggiani,Sarah,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Charles Aznavour,For Me Formidable,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Gilbert Bécaud,Et maintenant,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Dalida,Gigi l'amoroso,MEDIUM
chanson-francaise-classique,Chanson FR Classique,Yves Montand,À bicyclette,MEDIUM
