slug,playlist,artist,title,level,work
anime-openings,Anime (Openings),Hiroyuki Sawano feat. Yosh,Guren no Yumiya,EASY,Attack on Titan
anime-openings,Anime (Openings),Linked Horizon,Shinzou wo Sasageyo,EASY,Attack on Titan
anime-openings,Anime (Openings),LiSA,Gurenge,EASY,Demon Slayer
anime-openings,Anime (Openings),LiSA,Homura,EASY,Demon Slayer
anime-openings,Anime (Openings),The Rampage,Zankyou Sanka,EASY,Demon Slayer
anime-openings,Anime (Openings),FLOW,GO!!!,EASY,Naruto
anime-openings,Anime (Openings),Asian Kung-Fu Generation,Haruka Kanata,EASY,Naruto
anime-openings,Anime (Openings),Ikimono-gakari,Blue Bird,EASY,Naruto Shippuden
anime-openings,Anime (Openings),Kana-Boon,Silhouette,EASY,Naruto Shippuden
anime-openings,Anime (Openings),Hiroshi Kitadani,We Are!,EASY,One Piece
anime-openings,Anime (Openings),Namie Amuro,Hope,EASY,One Piece
anime-openings,Anime (Openings),Yoasobi,Idol,EASY,Oshi no Ko
anime-openings,Anime (Openings),Kenshi Yonezu,KICK BACK,EASY,Chainsaw Man
anime-openings,Anime (Openings),Official HIGE DANdism,Mixed Nuts,EASY,Spy x Family
anime-openings,Anime (Openings),Yoasobi,Yusha,EASY,Frieren
anime-openings,Anime (Openings),Sambomaster,Koukai no Uta,EASY,My Hero Academia
anime-openings,Anime (Openings),Porno Graffitti,The Day,EASY,My Hero Academia
anime-openings,Anime (Openings),L'Arc-en-Ciel,Ready Steady Go,EASY,Fullmetal Alchemist
anime-openings,Anime (Openings),Yui,Again,EASY,Fullmetal Alchemist: Brotherhood
anime-openings,Anime (Openings),Nico Touches the Walls,Hologram,EASY,Fullmetal Alchemist: Brotherhood
anime-openings,Anime (Openings),Flow,Sign,EASY,Naruto Shippuden
anime-openings,Anime (Openings),Eve,Kaikai Kitan,MEDIUM,Jujutsu Kaisen
anime-openings,Anime (Openings),Who-ya Extended,Vivid Vice,MEDIUM,Jujutsu Kaisen
anime-openings,Anime (Openings),Tatsuya Kitani,Where Our Blue Is,MEDIUM,Jujutsu Kaisen
anime-openings,Anime (Openings),TK from Ling Tosite Sigure,Unravel,MEDIUM,Tokyo Ghoul
anime-openings,Anime (Openings),Hiroyuki Sawano,Blumenkranz,MEDIUM,Kill la Kill
anime-openings,Anime (Openings),OxT,Clattanoia,MEDIUM,Overlord
anime-openings,Anime (Openings),Konomi Suzuki,Redo,MEDIUM,Re:Zero
anime-openings,Anime (Openings),ClariS,Connect,MEDIUM,Madoka Magica
anime-openings,Anime (Openings),Kalafina,Magia,MEDIUM,Madoka Magica
anime-openings,Anime (Openings),Supercell,Melt,MEDIUM,Hatsune Miku
anime-openings,Anime (Openings),Granrodeo,Kishikaisei,MEDIUM,Kuroko no Basket
anime-openings,Anime (Openings),Nightmare,The World,MEDIUM,Death Note
anime-openings,Anime (Openings),Aimer,Brave Shine,MEDIUM,Fate/stay night UBW
anime-openings,Anime (Openings),LiSA,oath sign,MEDIUM,Fate/Zero
anime-openings,Anime (Openings),Kalafina,to the beginning,MEDIUM,Fate/Zero
anime-openings,Anime (Openings),Yoko Kanno,Tank!,EXPERT,Cowboy Bebop
anime-openings,Anime (Openings),Origa,Inner Universe,EXPERT,Ghost in the Shell: SAC
anime-openings,Anime (Openings),Yoko Takahashi,A Cruel Angel's Thesis,EXPERT,Neon Genesis Evangelion
anime-openings,Anime (Openings),Round Table feat. Nino,Let Me Be with You,EXPERT,Chobits
anime-openings,Anime (Openings),Megumi Hayashibara,Give a Reason,EXPERT,Slayers Next
anime-openings,Anime (Openings),Two-Mix,White Reflection,EXPERT,Gundam Wing
anime-openings,Anime (Openings),T.M.Revolution,Invoke,EXPERT,Gundam SEED
anime-openings,Anime (Openings),T.M.Revolution,Meteor,EXPERT,Gundam SEED
anime-openings,Anime (Openings),L'Arc-en-Ciel,Driver's High,EXPERT,Great Teacher Onizuka
anime-openings,Anime (Openings),Porno Graffitti,Hitori no Yoru,EXPERT,Great Teacher Onizuka
anime-openings,Anime (Openings),LiSA,Crossing Field,EXPERT,Sword Art Online
anime-openings,Anime (Openings),Eir Aoi,Ignite,EXPERT,Sword Art Online II
anime-openings,Anime (Openings),fripSide,only my railgun,EXPERT,A Certain Scientific Railgun
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Fort Boyard
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Koh-Lanta
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Questions pour un champion
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,La Roue de la fortune
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Une famille en or
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Le Juste Prix
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Des chiffres et des lettres
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Motus
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Pyramide
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,N'oubliez pas les paroles
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Les 12 coups de midi
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Tournez manège
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Intervilles
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Fa Si La Chanter
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EASY,Money Drop
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Slam
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Tout le monde veut prendre sa place
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Le Maillon faible
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Qui veut gagner des millions ?
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Attention à la marche
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Pékin Express
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Top Chef
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Un dîner presque parfait
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,C'est mon choix
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Sacrée Soirée
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Le Bigdil
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,La Carte aux trésors
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Crésus
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Mot de passe
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,MEDIUM,Burger Quiz
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Les Chiffres et des Lettres (origine)
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,La Classe
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,L'Académie des neuf
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Jeux sans frontières
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Schmilblick
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,La Chance aux chansons
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Cherchez la femme
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Pentathlon
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Que le meilleur gagne
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Pyramide (générique fin)
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Le Millionnaire
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Bonne nuit les petits
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Téléchat
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,Récré A2
jeux-tv-fr,Génériques Jeux TV & Émissions FR,Générique TV,Thème principal,EXPERT,L'École des fans
