slug,playlist,artist,title,level
kpop,K-Pop,BTS,Dynamite,EASY
kpop,K-Pop,BTS,Butter,EASY
kpop,K-Pop,BTS,Boy with Luv,EASY
kpop,K-Pop,BTS,DNA,EASY
kpop,K-Pop,BTS,Fake Love,EASY
kpop,K-Pop,BTS,Permission to Dance,EASY
kpop,K-Pop,BTS,MIC Drop,EASY
kpop,K-Pop,BTS,IDOL,EASY
kpop,K-Pop,BTS,Spring Day,EASY
kpop,K-Pop,BTS,Blood Sweat & Tears,EASY
kpop,K-Pop,BLACKPINK,DDU-DU DDU-DU,EASY
kpop,K-Pop,BLACKPINK,Kill This Love,EASY
kpop,K-Pop,BLACKPINK,How You Like That,EASY
kpop,K-Pop,BLACKPINK,Pink Venom,EASY
kpop,K-Pop,BLACKPINK,BOOMBAYAH,EASY
kpop,K-Pop,BLACKPINK,Lovesick Girls,EASY
kpop,K-Pop,BLACKPINK,Shut Down,EASY
kpop,K-Pop,BLACKPINK,As If It's Your Last,EASY
kpop,K-Pop,PSY,Gangnam Style,EASY
kpop,K-Pop,PSY,Gentleman,EASY
kpop,K-Pop,TWICE,TT,EASY
kpop,K-Pop,TWICE,Fancy,EASY
kpop,K-Pop,TWICE,What Is Love?,EASY
kpop,K-Pop,TWICE,Cheer Up,EASY
kpop,K-Pop,TWICE,The Feels,EASY
kpop,K-Pop,TWICE,Likey,EASY
kpop,K-Pop,Red Velvet,Psycho,EASY
kpop,K-Pop,Red Velvet,Red Flavor,EASY
kpop,K-Pop,Red Velvet,Bad Boy,EASY
kpop,K-Pop,EXO,Love Shot,EASY
kpop,K-Pop,EXO,Growl,EASY
kpop,K-Pop,EXO,Call Me Baby,EASY
kpop,K-Pop,Stray Kids,God's Menu,EASY
kpop,K-Pop,Stray Kids,Thunderous,EASY
kpop,K-Pop,Stray Kids,Maniac,EASY
kpop,K-Pop,Stray Kids,S-Class,EASY
kpop,K-Pop,ITZY,WANNABE,EASY
kpop,K-Pop,ITZY,DALLA DALLA,EASY
kpop,K-Pop,ITZY,LOCO,EASY
kpop,K-Pop,aespa,Next Level,EASY
kpop,K-Pop,aespa,Savage,EASY
kpop,K-Pop,aespa,Black Mamba,EASY
kpop,K-Pop,aespa,Spicy,EASY
kpop,K-Pop,NewJeans,Attention,EASY
kpop,K-Pop,NewJeans,Hype Boy,EASY
kpop,K-Pop,NewJeans,Ditto,EASY
kpop,K-Pop,NewJeans,OMG,EASY
kpop,K-Pop,NewJeans,Super Shy,EASY
kpop,K-Pop,IVE,ELEVEN,EASY
kpop,K-Pop,IVE,LOVE DIVE,EASY
kpop,K-Pop,IVE,After LIKE,EASY
kpop,K-Pop,IVE,I AM,EASY
kpop,K-Pop,LE SSERAFIM,ANTIFRAGILE,EASY
kpop,K-Pop,LE SSERAFIM,FEARLESS,EASY
kpop,K-Pop,LE SSERAFIM,Unforgiven,EASY
kpop,K-Pop,NCT 127,Cherry Bomb,EASY
kpop,K-Pop,NCT 127,Kick It,EASY
kpop,K-Pop,NCT DREAM,Hot Sauce,EASY
kpop,K-Pop,SEVENTEEN,Very Nice,EASY
kpop,K-Pop,SEVENTEEN,HOT,EASY
kpop,K-Pop,SEVENTEEN,God of Music,EASY
kpop,K-Pop,TOMORROW X TOGETHER,Crown,EASY
kpop,K-Pop,GOT7,Just Right,EASY
kpop,K-Pop,Girls' Generation,Gee,EASY
kpop,K-Pop,Girls' Generation,The Boys,EASY
kpop,K-Pop,Girls' Generation,I Got a Boy,EASY
kpop,K-Pop,Super Junior,"Sorry, Sorry",EASY
kpop,K-Pop,Super Junior,Mr. Simple,EASY
kpop,K-Pop,BIGBANG,Fantastic Baby,EASY
kpop,K-Pop,BIGBANG,Bang Bang Bang,EASY
kpop,K-Pop,2NE1,I Am the Best,EASY
kpop,K-Pop,2NE1,Fire,EASY
kpop,K-Pop,Wonder Girls,Nobody,EASY
kpop,K-Pop,JENNIE,SOLO,EASY
kpop,K-Pop,LISA,MONEY,EASY
kpop,K-Pop,LISA,LALISA,EASY
kpop,K-Pop,Jung Kook,Seven,EASY
kpop,K-Pop,Jimin,Like Crazy,EASY
kpop,K-Pop,SHINee,Ring Ding Dong,MEDIUM
kpop,K-Pop,SHINee,View,MEDIUM
kpop,K-Pop,SHINee,Sherlock (Clue + Note),MEDIUM
kpop,K-Pop,f(x),4 Walls,MEDIUM
kpop,K-Pop,f(x),Electric Shock,MEDIUM
kpop,K-Pop,MAMAMOO,HIP,MEDIUM
kpop,K-Pop,MAMAMOO,Egotistic,MEDIUM
kpop,K-Pop,MAMAMOO,Decalcomanie,MEDIUM
kpop,K-Pop,MAMAMOO,Starry Night,MEDIUM
kpop,K-Pop,GFRIEND,MAGO,MEDIUM
kpop,K-Pop,GFRIEND,Rough,MEDIUM
kpop,K-Pop,GFRIEND,Time for the Moon Night,MEDIUM
kpop,K-Pop,Apink,Mr. Chu,MEDIUM
kpop,K-Pop,Apink,%% (Eung Eung),MEDIUM
kpop,K-Pop,OH MY GIRL,Dolphin,MEDIUM
kpop,K-Pop,OH MY GIRL,Nonstop,MEDIUM
kpop,K-Pop,(G)I-DLE,TOMBOY,MEDIUM
kpop,K-Pop,(G)I-DLE,LATATA,MEDIUM
kpop,K-Pop,(G)I-DLE,Oh my god,MEDIUM
kpop,K-Pop,(G)I-DLE,Nxde,MEDIUM
kpop,K-Pop,(G)I-DLE,Queencard,MEDIUM
kpop,K-Pop,EVERGLOW,DUN DUN,MEDIUM
kpop,K-Pop,LOONA,So What,MEDIUM
kpop,K-Pop,LOONA,Why Not?,MEDIUM
kpop,K-Pop,Dreamcatcher,Scream,MEDIUM
kpop,K-Pop,MONSTA X,Shoot Out,MEDIUM
