slug,playlist,artist,title,level
quebec,Québec & Franco,Céline Dion,Pour que tu m'aimes encore,EASY
quebec,Québec & Franco,Céline Dion,S'il suffisait d'aimer,EASY
quebec,Québec & Franco,Céline Dion,D'amour ou d'amitié,EASY
quebec,Québec & Franco,Céline Dion,Ziggy,EASY
quebec,Québec & Franco,Garou,Seul,EASY
quebec,Québec & Franco,Garou,Sous le vent,EASY
quebec,Québec & Franco,Roch Voisine,Hélène,EASY
quebec,Québec & Franco,Cœur de Pirate,Comme des enfants,EASY
quebec,Québec & Franco,Cœur de Pirate,Place de la République,EASY
quebec,Québec & Franco,Les Cowboys Fringants,Les étoiles filantes,EASY
quebec,Québec & Franco,Les Cowboys Fringants,L'Amérique pleure,EASY
quebec,Québec & Franco,Les Cowboys Fringants,Mon pays,EASY
quebec,Québec & Franco,Mes Aïeux,Dégénérations,EASY
quebec,Québec & Franco,Les Colocs,La rue principale,EASY
quebec,Québec & Franco,Les Colocs,Tassez-vous d'là,EASY
quebec,Québec & Franco,Kaïn,Adéla,EASY
quebec,Québec & Franco,Isabelle Boulay,Parle-moi,EASY
quebec,Québec & Franco,Natasha St-Pier,Tu trouveras,EASY
quebec,Québec & Franco,Jean Leloup,I Lost My Baby,EASY
quebec,Québec & Franco,Éric Lapointe,Terre promise,EASY
quebec,Québec & Franco,Kevin Parent,Seigneur,EASY
quebec,Québec & Franco,Bran Van 3000,Drinking in L.A.,EASY
quebec,Québec & Franco,Simple Plan,Welcome to My Life,EASY
quebec,Québec & Franco,Simple Plan,Perfect,EASY
quebec,Québec & Franco,Marie-Mai,Encore une nuit,EASY
quebec,Québec & Franco,Marc Dupré,Nous sommes les mêmes,EASY
quebec,Québec & Franco,Beau Dommage,La complainte du phoque en Alaska,MEDIUM
quebec,Québec & Franco,Harmonium,Pour un instant,MEDIUM
quebec,Québec & Franco,Robert Charlebois,Lindberg,MEDIUM
quebec,Québec & Franco,Robert Charlebois,Ordinaire,MEDIUM
quebec,Québec & Franco,Robert Charlebois,Je reviendrai à Montréal,MEDIUM
quebec,Québec & Franco,Diane Dufresne,J'ai rencontré l'homme de ma vie,MEDIUM
quebec,Québec & Franco,Ginette Reno,Je ne suis qu'une chanson,MEDIUM
quebec,Québec & Franco,Daniel Bélanger,Sortez-moi de moi,MEDIUM
quebec,Québec & Franco,Jean Leloup,Isabelle,MEDIUM
quebec,Québec & Franco,Jean Leloup,1990,MEDIUM
quebec,Québec & Franco,Lynda Lemay,"Le plus fort, c'est mon père",MEDIUM
quebec,Québec & Franco,Daniel Boucher,La désise,MEDIUM
quebec,Québec & Franco,Les Trois Accords,Hawaïenne,MEDIUM
quebec,Québec & Franco,Vincent Vallières,On va s'aimer encore,MEDIUM
quebec,Québec & Franco,Pierre Lapointe,Au bar des suicidés,MEDIUM
quebec,Québec & Franco,Ariane Moffatt,Réverbère,MEDIUM
quebec,Québec & Franco,Klô Pelgag,La fonte,MEDIUM
quebec,Québec & Franco,Loud,Toutes les femmes savent danser,MEDIUM
quebec,Québec & Franco,Koriass,Rap Scientifique,MEDIUM
quebec,Québec & Franco,Alaclair Ensemble,Ça que c'tait,MEDIUM
quebec,Québec & Franco,FouKi,Copilote,MEDIUM
quebec,Québec & Franco,Charlotte Cardin,Confetti,MEDIUM
quebec,Québec & Franco,Charlotte Cardin,Meaningless,MEDIUM
quebec,Québec & Franco,Hubert Lenoir,Fille de personne II,MEDIUM
quebec,Québec & Franco,Patrick Watson,The Great Escape,MEDIUM
quebec,Québec & Franco,Félix Leclerc,Le P'tit Bonheur,EXPERT
quebec,Québec & Franco,Félix Leclerc,Moi mes souliers,EXPERT
quebec,Québec & Franco,Gilles Vigneault,Mon pays,EXPERT
quebec,Québec & Franco,Gilles Vigneault,Gens du pays,EXPERT
quebec,Québec & Franco,Claude Léveillée,Frédéric,EXPERT
quebec,Québec & Franco,Jean-Pierre Ferland,Une chance qu'on s'a,EXPERT
quebec,Québec & Franco,Jean-Pierre Ferland,Le petit roi,EXPERT
quebec,Québec & Franco,Pauline Julien,L'âme à la tendresse,EXPERT
quebec,Québec & Franco,Offenbach,Câline de blues,EXPERT
quebec,Québec & Franco,Plume Latraverse,Bobépine,EXPERT
quebec,Québec & Franco,Richard Desjardins,Tu m'aimes-tu,EXPERT
quebec,Québec & Franco,Daniel Lavoie,Ils s'aiment,EXPERT
quebec,Québec & Franco,Paul Piché,Heureux d'un printemps,EXPERT
quebec,Québec & Franco,Michel Rivard,Le cœur de ma vie,EXPERT
quebec,Québec & Franco,Beau Dommage,Le picbois,EXPERT
quebec,Québec & Franco,Harmonium,Histoires sans paroles,EXPERT
quebec,Québec & Franco,Octobre,Dehors novembre,EXPERT
quebec,Québec & Franco,Les Colocs,Dehors novembre,EXPERT
quebec,Québec & Franco,Loco Locass,Libérez-nous des libéraux,EXPERT
quebec,Québec & Franco,Dubmatique,La force de comprendre,EXPERT
quebec,Québec & Franco,Muzion,Lupercalia,EXPERT
quebec,Québec & Franco,Karkwa,Le pyromane,EXPERT
quebec,Québec & Franco,Malajube,Montréal -40°C,EXPERT
quebec,Québec & Franco,Galaxie,Camouflar,EXPERT
quebec,Québec & Franco,Bernard Adamus,Brun,EXPERT
quebec,Québec & Franco,Lisa LeBlanc,"Aujourd'hui, ma vie c'est d'la marde",EXPERT
quebec,Québec & Franco,Les Hay Babies,Mon homme,EXPERT
quebec,Québec & Franco,Salomé Leclerc,Tourne encore,EXPERT
quebec,Québec & Franco,Safia Nolin,Igloo,EXPERT
quebec,Québec & Franco,Avec pas d'casque,Intérieurs vides,EXPERT
quebec,Québec & Franco,Philippe B,La grande nuit vidéo,EXPERT
quebec,Québec & Franco,Fanny Bloom,Shit,EXPERT
rai-oriental,Raï & Oriental,Khaled,Aïcha,EASY
rai-oriental,Raï & Oriental,Khaled,Didi,EASY
rai-oriental,Raï & Oriental,Khaled,C'est la vie,EASY
rai-oriental,Raï & Oriental,Cheb Mami,Parisien du Nord,EASY
rai-oriental,Raï & Oriental,Faudel,Tellement je t'aime,EASY
rai-oriental,Raï & Oriental,Faudel,Mon pays,EASY
rai-oriental,Raï & Oriental,Rachid Taha,Ya Rayah,EASY
rai-oriental,Raï & Oriental,"1, 2, 3 Soleils",Abdel Kader,EASY
rai-oriental,Raï & Oriental,Reda Taliani & 113,Partir Loin,EASY
rai-oriental,Raï & Oriental,Magic System,Bouger Bouger,EASY
rai-oriental,Raï & Oriental,Saad Lamjarred,Lm3allem,EASY
rai-oriental,Raï & Oriental,Saad Lamjarred,Ghaltana,EASY
rai-oriental,Raï & Oriental,Amr Diab,Nour El Ain,EASY
rai-oriental,Raï & Oriental,Amr Diab,Tamally Maak,EASY
rai-oriental,Raï & Oriental,Nancy Ajram,Ah W Noss,EASY
rai-oriental,Raï & Oriental,Cheb Khaled,Abdel Kader,EASY
rai-oriental,Raï & Oriental,DJ Snake,Disco Maghreb,EASY
rai-oriental,Raï & Oriental,Soolking,Dalida,EASY
rai-oriental,Raï & Oriental,Soolking,Liberté,EASY
rai-oriental,Raï & Oriental,Cheb Hasni,Baida Mon Amour,MEDIUM
rai-oriental,Raï & Oriental,Cheb Bilal,Yamina,MEDIUM
rai-oriental,Raï & Oriental,Cheb Khaled,Wahran Wahran,MEDIUM
rai-oriental,Raï & Oriental,Rachid Taha,Barra Barra,MEDIUM
rai-oriental,Raï & Oriental,Rachid Taha,Rock El Casbah,MEDIUM
rai-oriental,Raï & Oriental,Souad Massi,Raoui,MEDIUM
rai-oriental,Raï & Oriental,Souad Massi,Ya Kelbi,MEDIUM
rai-oriental,Raï & Oriental,Idir,A Vava Inouva,MEDIUM
rai-oriental,Raï & Oriental,Idir,Zwit Rwit,MEDIUM
rai-oriental,Raï & Oriental,Warda,Batwannes Beek,MEDIUM
rai-oriental,Raï & Oriental,Fairuz,Habbaytak Bel Sayf,MEDIUM
rai-oriental,Raï & Oriental,Oum Kalthoum,Enta Omri,MEDIUM
rai-oriental,Raï & Oriental,Babylone,Zina,MEDIUM
rai-oriental,Raï & Oriental,Cheb Khaled & Cheb Mami,La Camel,MEDIUM
rai-oriental,Raï & Oriental,L'Algérino,Va Bene,MEDIUM
rai-oriental,Raï & Oriental,L'Algérino,Banderas,MEDIUM
rai-oriental,Raï & Oriental,Zaho,C'est chelou,MEDIUM
rai-oriental,Raï & Oriental,Zaho,La Roue Tourne,MEDIUM
rai-oriental,Raï & Oriental,Dahmane El Harrachi,Ya Rayah,EXPERT
rai-oriental,Raï & Oriental,Cheikha Rimitti,Nouar,EXPERT
rai-oriental,Raï & Oriental,Lili Boniche,Alger Alger,EXPERT
rai-oriental,Raï & Oriental,Salim Halali,Sidi H'Bibi,EXPERT
rai-oriental,Raï & Oriental,Slimane Azem,Algérie mon beau pays,EXPERT
rai-oriental,Raï & Oriental,Takfarinas,Zaâma Zaâma,EXPERT
rai-oriental,Raï & Oriental,Cheb Sahraoui & Chaba Fadela,N'sel Fik,EXPERT
rai-oriental,Raï & Oriental,Raïna Raï,Ya Zina,EXPERT
rai-oriental,Raï & Oriental,Gnawa Diffusion,Ya Laymi,EXPERT
rai-oriental,Raï & Oriental,Orchestre National de Barbès,Alsing-Alang,EXPERT
tiktok-viral,TikTok & Viral,Lil Nas X,Old Town Road,EASY
tiktok-viral,TikTok & Viral,Doja Cat,Say So,EASY
tiktok-viral,TikTok & Viral,Doja Cat,Woman,EASY
tiktok-viral,TikTok & Viral,CKay,Love Nwantiti (ah ah ah),EASY
tiktok-viral,TikTok & Viral,Glass Animals,Heat Waves,EASY
tiktok-viral,TikTok & Viral,The Kid LAROI & Justin Bieber,Stay,EASY
tiktok-viral,TikTok & Viral,Em Beihold,Numb Little Bug,EASY
tiktok-viral,TikTok & Viral,Steve Lacy,Bad Habit,EASY
tiktok-viral,TikTok & Viral,PinkPantheress & Ice Spice,Boy's a Liar Pt. 2,EASY
