playlist,artist,title,level
Latino,Luis Fonsi,Despacito,EASY
Latino,Daddy Yankee,Gasolina,EASY
Latino,Don Omar,Danza Kuduro,EASY
Latino,Enrique Iglesias,Bailando,EASY
Latino,Shakira,Hips Don't Lie,EASY
Latino,Shakira,Waka Waka (This Time for Africa),EASY
Latino,Shakira,"Whenever, Wherever",EASY
Latino,Ricky Martin,Livin' la Vida Loca,EASY
Latino,Marc Anthony,Vivir Mi Vida,EASY
Latino,Juanes,La Camisa Negra,EASY
Latino,Manu Chao,Me Gustas Tú,EASY
Latino,Gipsy Kings,Bamboléo,EASY
Latino,Los del Río,Macarena,EASY
Latino,Las Ketchup,Aserejé,EASY
Latino,Carlos Santana,Smooth,EASY
Latino,Pitbull,Timber,EASY
Latino,J Balvin,Mi Gente,EASY
Latino,Karol G,Tusa,EASY
Latino,Sean Paul,Temperature,EASY
Latino,OMI,Cheerleader,EASY
Latino,Camila Cabello,Havana,EASY
Latino,Jennifer Lopez,On the Floor,EASY
Latino,Álvaro Soler,Sofia,EASY
Latino,Lou Bega,Mambo No. 5,EASY
Latino,Kaoma,Lambada,EASY
Latino,Shakira,La Tortura,EASY
Latino,Bad Bunny,Dakiti,EASY
Latino,Ricky Martin,María,MEDIUM
Latino,Ricky Martin,La Copa de la Vida,MEDIUM
Latino,Juanes,A Dios le Pido,MEDIUM
Latino,Manu Chao,Bongo Bong,MEDIUM
Latino,Gipsy Kings,Volare,MEDIUM
Latino,Carlos Santana,Maria Maria,MEDIUM
Latino,Chayanne,Torero,MEDIUM
Latino,Chayanne,Salomé,MEDIUM
Latino,Paulina Rubio,Ni una sola palabra,MEDIUM
Latino,Pitbull,Give Me Everything,EASY
Latino,J Balvin,Ginza,MEDIUM
Latino,Nicky Jam,El Perdón,MEDIUM
Latino,Maluma,Felices los 4,MEDIUM
Latino,Maluma,Hawái,MEDIUM
Latino,Ozuna,Taki Taki,MEDIUM
Latino,Karol G,Bichota,MEDIUM
Latino,Bad Bunny,Tití Me Preguntó,MEDIUM
Latino,Rosalía,Despechá,MEDIUM
Latino,CNCO,Reggaetón Lento,MEDIUM
Latino,Romeo Santos,Propuesta Indecente,MEDIUM
Latino,Aventura,Obsesión,MEDIUM
Latino,Prince Royce,Darte un Beso,MEDIUM
Latino,Gloria Estefan,Conga,MEDIUM
Latino,Gloria Estefan,Rhythm Is Gonna Get You,MEDIUM
Latino,Jennifer Lopez,Let's Get Loud,MEDIUM
Latino,Álvaro Soler,El Mismo Sol,MEDIUM
Latino,Maná,Oye Mi Amor,MEDIUM
Latino,Maná,Rayando el Sol,MEDIUM
Latino,Celia Cruz,La Vida Es un Carnaval,MEDIUM
Latino,Sergio Mendes,Mas que Nada,MEDIUM
Latino,Buena Vista Social Club,Chan Chan,MEDIUM
Latino,Inna,Hot,MEDIUM
Latino,King Africa,La Bomba,MEDIUM
Latino,Thalía,Arrasando,HARD
Latino,Wisin & Yandel,Rakata,HARD
Latino,Tego Calderón,Pa' que retozen,HARD
Latino,Jesse & Joy,Corre,HARD
Latino,Café Tacvba,Eres,HARD
Latino,Bomba Estéreo,Soy Yo,HARD
Latino,Compay Segundo,Chan Chan,HARD
Latino,Calle 13,Atrévete-te-te,HARD
Latino,Daddy Yankee,Limbo,MEDIUM
Latino,Don Omar,Dile,HARD
Latino,Wisin,Que Viva la Vida,HARD
Latino,Zion & Lennox,La Player (Bandolera),HARD
Latino,Ozuna,Se Preparó,HARD
Latino,Anuel AA,China,HARD
Latino,Rauw Alejandro,Todo de Ti,MEDIUM
Latino,Sech,Otro Trago,HARD
Latino,Feid,Classy 101,HARD
Latino,Quevedo,Quédate,MEDIUM
Latino,Mau y Ricky,Mi Mala,HARD
Latino,Cali y El Dandee,Yo Te Esperaré,HARD
Italie,Toto Cutugno,L'Italiano,EASY
Italie,Al Bano & Romina Power,Felicità,EASY
Italie,Ricchi e Poveri,Sarà perché ti amo,EASY
Italie,Umberto Tozzi,Ti amo,EASY
Italie,Umberto Tozzi,Gloria,EASY
Italie,Raffaella Carrà,A far l'amore comincia tu,EASY
Italie,Eros Ramazzotti,Più bella cosa,EASY
Italie,Eros Ramazzotti,Se bastasse una canzone,EASY
Italie,Laura Pausini,La solitudine,EASY
Italie,Adriano Celentano,Azzurro,EASY
Italie,Adriano Celentano,Prisencolinensinainciusol,MEDIUM
Italie,Zucchero,Baila (Sexy Thing),EASY
Italie,Måneskin,Beggin',EASY
Italie,Måneskin,I Wanna Be Your Slave,EASY
Italie,Måneskin,Zitti e buoni,MEDIUM
Italie,Gigi D'Agostino,L'Amour Toujours,EASY
Italie,Gigi D'Agostino,Bla Bla Bla,EASY
Italie,Eiffel 65,Blue (Da Ba Dee),EASY
Italie,Toto Cutugno,Insieme: 1992,MEDIUM
Italie,Ricchi e Poveri,Mamma Maria,EASY
Italie,Sabrina,Boys (Summertime Love),EASY
Italie,Spagna,Call Me,MEDIUM
Italie,Ryan Paris,Dolce Vita,MEDIUM
Italie,Baltimora,Tarzan Boy,EASY
Italie,Domenico Modugno,Volare (Nel blu dipinto di blu),EASY
Italie,Bobby Solo,Una lacrima sul viso,HARD
Italie,Eros Ramazzotti,Cose della vita,MEDIUM
Italie,Eros Ramazzotti,Una storia importante,MEDIUM
Italie,Laura Pausini,Strani amori,MEDIUM
Italie,Laura Pausini,Tra te e il mare,MEDIUM
Italie,Zucchero,Senza una donna,MEDIUM
Italie,Zucchero,Diavolo in me,MEDIUM
Italie,Lucio Battisti,"Acqua azzurra, acqua chiara",MEDIUM
Italie,Lucio Battisti,I giardini di marzo,MEDIUM
Italie,Mina,Tintarella di luna,MEDIUM
Italie,Mina,Parole parole,MEDIUM
Italie,Adriano Celentano,Il ragazzo della via Gluck,MEDIUM
