playlist,artist,title,level
Intros légendaires,Guns N' Roses,Sweet Child O' Mine,EASY
Intros légendaires,Deep Purple,Smoke on the Water,EASY
Intros légendaires,Michael Jackson,Billie Jean,EASY
Intros légendaires,Michael Jackson,Beat It,EASY
Intros légendaires,AC/DC,Back in Black,EASY
Intros légendaires,AC/DC,Thunderstruck,EASY
Intros légendaires,The White Stripes,Seven Nation Army,EASY
Intros légendaires,Survivor,Eye of the Tiger,EASY
Intros légendaires,Nirvana,Smells Like Teen Spirit,EASY
Intros légendaires,Metallica,Enter Sandman,EASY
Intros légendaires,U2,Sunday Bloody Sunday,MEDIUM
Intros légendaires,Led Zeppelin,Whole Lotta Love,MEDIUM
Intros légendaires,Derek and the Dominos,Layla,MEDIUM
Intros légendaires,Oasis,Wonderwall,EASY
Intros légendaires,Queen,Another One Bites the Dust,EASY
Intros légendaires,Queen,We Will Rock You,EASY
Intros légendaires,The Rolling Stones,(I Can't Get No) Satisfaction,EASY
Intros légendaires,The Police,Every Breath You Take,EASY
Intros légendaires,Dire Straits,Money for Nothing,MEDIUM
Intros légendaires,Eric Clapton,Layla (Unplugged),HARD
Intros légendaires,Van Halen,Jump,EASY
Intros légendaires,Toto,Africa,EASY
Intros légendaires,a-ha,Take On Me,EASY
Intros légendaires,The Cranberries,Zombie,EASY
Intros légendaires,Green Day,American Idiot,EASY
Intros légendaires,The Offspring,Pretty Fly (For a White Guy),EASY
Intros légendaires,Blur,Song 2,EASY
Intros légendaires,The Clash,Should I Stay or Should I Go,EASY
Intros légendaires,Joan Jett,I Love Rock 'n' Roll,EASY
Intros légendaires,Europe,The Final Countdown,EASY
Intros légendaires,Bon Jovi,Livin' on a Prayer,EASY
Intros légendaires,Bon Jovi,It's My Life,EASY
Intros légendaires,Aerosmith,Walk This Way,MEDIUM
Intros légendaires,ZZ Top,Gimme All Your Lovin',MEDIUM
Intros légendaires,Lynyrd Skynyrd,Sweet Home Alabama,EASY
Intros légendaires,Eagles,Hotel California,EASY
Intros légendaires,Dire Straits,Sultans of Swing,MEDIUM
Intros légendaires,Pink Floyd,Another Brick in the Wall,EASY
Intros légendaires,Red Hot Chili Peppers,Californication,EASY
Intros légendaires,Red Hot Chili Peppers,By the Way,MEDIUM
Intros légendaires,The Killers,Mr. Brightside,EASY
Intros légendaires,Franz Ferdinand,Take Me Out,MEDIUM
Intros légendaires,The Strokes,Last Nite,MEDIUM
Intros légendaires,Arctic Monkeys,Do I Wanna Know?,EASY
Intros légendaires,Muse,Uprising,MEDIUM
Intros légendaires,Foo Fighters,Everlong,MEDIUM
Intros légendaires,Rage Against the Machine,Killing in the Name,MEDIUM
Intros légendaires,System of a Down,Toxicity,MEDIUM
Intros légendaires,Linkin Park,In the End,EASY
Intros légendaires,Linkin Park,Numb,EASY
Intros légendaires,Blink-182,All the Small Things,EASY
Intros légendaires,Sum 41,In Too Deep,MEDIUM
Intros légendaires,The Cure,Boys Don't Cry,MEDIUM
Intros légendaires,The Smiths,This Charming Man,MEDIUM
Intros légendaires,Depeche Mode,Personal Jesus,MEDIUM
Intros légendaires,New Order,Blue Monday,MEDIUM
Intros légendaires,David Bowie,Let's Dance,EASY
Intros légendaires,David Bowie,Heroes,MEDIUM
Intros légendaires,The Beatles,Come Together,EASY
Intros légendaires,The Beatles,Hey Jude,EASY
Intros légendaires,The Who,Baba O'Riley,MEDIUM
Intros légendaires,Cream,Sunshine of Your Love,MEDIUM
Intros légendaires,Jimi Hendrix,Purple Haze,MEDIUM
Intros légendaires,Creedence Clearwater Revival,Fortunate Son,MEDIUM
Intros légendaires,Steppenwolf,Born to Be Wild,MEDIUM
Intros légendaires,Boston,More Than a Feeling,MEDIUM
Intros légendaires,Journey,Don't Stop Believin',EASY
Intros légendaires,Kansas,Carry On Wayward Son,MEDIUM
Intros légendaires,Scorpions,Rock You Like a Hurricane,MEDIUM
Intros légendaires,Twisted Sister,We're Not Gonna Take It,EASY
Intros légendaires,Whitesnake,Here I Go Again,MEDIUM
Intros légendaires,Def Leppard,Pour Some Sugar on Me,MEDIUM
Intros légendaires,Mötley Crüe,Kickstart My Heart,HARD
Intros légendaires,Ramones,Blitzkrieg Bop,MEDIUM
Intros légendaires,Sex Pistols,Anarchy in the U.K.,HARD
Intros légendaires,Iggy Pop,The Passenger,MEDIUM
Intros légendaires,T. Rex,Get It On,MEDIUM
Intros légendaires,Gary Glitter,Rock and Roll Part 2,MEDIUM
Génériques films & séries,Ray Parker Jr.,Ghostbusters,EASY
Génériques films & séries,Bill Medley & Jennifer Warnes,(I've Had) The Time of My Life,EASY
Génériques films & séries,Kenny Loggins,Footloose,EASY
Génériques films & séries,Irene Cara,Flashdance... What a Feeling,EASY
Génériques films & séries,Bee Gees,Stayin' Alive,EASY
Génériques films & séries,Whitney Houston,I Will Always Love You,EASY
Génériques films & séries,Eminem,Lose Yourself,EASY
Génériques films & séries,Coolio,Gangsta's Paradise,EASY
Génériques films & séries,Seal,Kiss from a Rose,MEDIUM
Génériques films & séries,Will Smith,Men in Black,EASY
Génériques films & séries,Survivor,Eye of the Tiger,EASY
Génériques films & séries,Simon & Garfunkel,Mrs. Robinson,MEDIUM
Génériques films & séries,Bruce Springsteen,Streets of Philadelphia,MEDIUM
Génériques films & séries,Berlin,Take My Breath Away,MEDIUM
Génériques films & séries,Kenny Loggins,Danger Zone,MEDIUM
Génériques films & séries,Peter Cetera,Glory of Love,MEDIUM
Génériques films & séries,Survivor,Burning Heart,HARD
Génériques films & séries,Huey Lewis and the News,The Power of Love,EASY
Génériques films & séries,Phil Collins,You'll Be in My Heart,MEDIUM
Génériques films & séries,Elton John,Can You Feel the Love Tonight,MEDIUM
Génériques films & séries,Idina Menzel,Let It Go,EASY
Génériques films & séries,Peabo Bryson & Regina Belle,A Whole New World,MEDIUM
Génériques films & séries,Vanessa Williams,Colors of the Wind,HARD
Génériques films & séries,Phil Collins,Two Worlds,HARD
Génériques films & séries,Adele,Skyfall,EASY
Génériques films & séries,Paul McCartney & Wings,Live and Let Die,MEDIUM
Génériques films & séries,Tina Turner,GoldenEye,MEDIUM
Génériques films & séries,Madonna,Die Another Day,MEDIUM
Génériques films & séries,Sam Smith,Writing's on the Wall,MEDIUM
Génériques films & séries,Shirley Bassey,Goldfinger,MEDIUM
Génériques films & séries,Bryan Adams,(Everything I Do) I Do It for You,EASY
Génériques films & séries,Aerosmith,I Don't Want to Miss a Thing,EASY
Génériques films & séries,Celine Dion,My Heart Will Go On,EASY
Génériques films & séries,Diane Warren,Because You Loved Me,HARD
Génériques films & séries,Gloria Gaynor,I Will Survive,EASY
Génériques films & séries,Patrick Swayze,She's Like the Wind,MEDIUM
Génériques films & séries,The Rembrandts,I'll Be There for You,EASY
Génériques films & séries,DJ Jazzy Jeff & The Fresh Prince,Fresh Prince of Bel-Air Theme,MEDIUM
Génériques films & séries,Lipps Inc,Funkytown,EASY
Génériques films & séries,Chuck Berry,Johnny B. Goode,MEDIUM
Génériques films & séries,Wang Chung,Dance Hall Days,HARD
Génériques films & séries,Glenn Frey,The Heat Is On,MEDIUM
Génériques films & séries,Harold Faltermeyer,Axel F,MEDIUM
Génériques films & séries,Eddy Grant,Electric Avenue,MEDIUM
Génériques films & séries,Bonnie Tyler,Holding Out for a Hero,EASY
Génériques films & séries,Starship,Nothing's Gonna Stop Us Now,MEDIUM
Génériques films & séries,Bryan Adams,Heaven,MEDIUM
Génériques films & séries,Roy Orbison,"Oh, Pretty Woman",EASY
Génériques films & séries,Tom Jones,It's Not Unusual,MEDIUM
Génériques films & séries,Frank Sinatra,Fly Me to the Moon,EASY
Génériques films & séries,Louis Armstrong,What a Wonderful World,EASY
Génériques films & séries,Israel Kamakawiwoʻole,Over the Rainbow,EASY
Génériques films & séries,Survivor,The Search Is Over,HARD
Génériques films & séries,John Williams,Cantina Band,HARD
Génériques films & séries,Hans Zimmer,He's a Pirate,MEDIUM
Génériques films & séries,Lin-Manuel Miranda,You're Welcome,MEDIUM
Génériques films & séries,Pharrell Williams,Happy,EASY
Génériques films & séries,Justin Timberlake,Can't Stop the Feeling!,EASY
Génériques films & séries,Phil Collins,In the Air Tonight,MEDIUM
Génériques films & séries,Chris Isaak,Wicked Game,MEDIUM
Génériques films & séries,M83,Midnight City,MEDIUM
Génériques films & séries,a-ha,Take On Me,EASY
Génériques films & séries,Toto,Africa,EASY
Génériques films & séries,Foreigner,I Want to Know What Love Is,MEDIUM
Génériques films & séries,Cyndi Lauper,Girls Just Want to Have Fun,EASY
Génériques films & séries,Spandau Ballet,True,MEDIUM
Génériques films & séries,Tears for Fears,Everybody Wants to Rule the World,EASY
Génériques films & séries,Simple Minds,Don't You (Forget About Me),EASY
Génériques films & séries,OMD,If You Leave,HARD
Génériques films & séries,Modern English,I Melt with You,HARD
Génériques films & séries,The Bangles,Walk Like an Egyptian,MEDIUM
Génériques films & séries,Lionel Richie,Hello,EASY
Génériques films & séries,Stevie Wonder,I Just Called to Say I Love You,EASY
Génériques films & séries,DeBarge,Rhythm of the Night,MEDIUM
Génériques films & séries,Patti LaBelle,New Attitude,HARD
Disco dancefloor,Bee Gees,Stayin' Alive,EASY
Disco dancefloor,Bee Gees,Night Fever,MEDIUM
Disco dancefloor,Bee Gees,You Should Be Dancing,MEDIUM
Disco dancefloor,Chic,Le Freak,EASY
Disco dancefloor,Chic,Good Times,MEDIUM
Disco dancefloor,Gloria Gaynor,I Will Survive,EASY
Disco dancefloor,Village People,Y.M.C.A.,EASY
Disco dancefloor,Village People,Macho Man,MEDIUM
Disco dancefloor,Village People,In the Navy,MEDIUM
Disco dancefloor,"Earth, Wind & Fire",September,EASY
Disco dancefloor,"Earth, Wind & Fire",Boogie Wonderland,MEDIUM
Disco dancefloor,"Earth, Wind & Fire",Let's Groove,MEDIUM
Disco dancefloor,ABBA,Dancing Queen,EASY
Disco dancefloor,ABBA,Gimme! Gimme! Gimme!,EASY
Disco dancefloor,ABBA,Voulez-Vous,MEDIUM
Disco dancefloor,ABBA,Waterloo,EASY
Disco dancefloor,Donna Summer,Hot Stuff,EASY
Disco dancefloor,Donna Summer,I Feel Love,MEDIUM
Disco dancefloor,Donna Summer,Bad Girls,MEDIUM
Disco dancefloor,Sister Sledge,We Are Family,EASY
Disco dancefloor,Sister Sledge,He's the Greatest Dancer,MEDIUM
Disco dancefloor,KC and the Sunshine Band,That's the Way (I Like It),MEDIUM
Disco dancefloor,KC and the Sunshine Band,Get Down Tonight,MEDIUM
Disco dancefloor,The Trammps,Disco Inferno,MEDIUM
Disco dancefloor,Anita Ward,Ring My Bell,MEDIUM
Disco dancefloor,Patrick Hernandez,Born to Be Alive,EASY
Disco dancefloor,Boney M.,Daddy Cool,EASY
Disco dancefloor,Boney M.,Rasputin,EASY
Disco dancefloor,Boney M.,Ma Baker,MEDIUM
Disco dancefloor,Cheryl Lynn,Got to Be Real,MEDIUM
Disco dancefloor,Rose Royce,Car Wash,MEDIUM
Disco dancefloor,Labelle,Lady Marmalade,MEDIUM
Disco dancefloor,Thelma Houston,Don't Leave Me This Way,HARD
Disco dancefloor,Odyssey,Native New Yorker,HARD
Disco dancefloor,Blondie,Heart of Glass,EASY
Disco dancefloor,Diana Ross,Upside Down,MEDIUM
Disco dancefloor,Diana Ross,I'm Coming Out,MEDIUM
Disco dancefloor,McFadden & Whitehead,Ain't No Stoppin' Us Now,HARD
Disco dancefloor,The Jacksons,Blame It on the Boogie,MEDIUM
Disco dancefloor,Michael Jackson,Don't Stop 'Til You Get Enough,EASY
Disco dancefloor,Michael Jackson,Rock with You,MEDIUM
Disco dancefloor,Tavares,Heaven Must Be Missing an Angel,HARD
Disco dancefloor,Wild Cherry,Play That Funky Music,MEDIUM
Disco dancefloor,A Taste of Honey,Boogie Oogie Oogie,HARD
Disco dancefloor,Heatwave,Boogie Nights,MEDIUM
Disco dancefloor,Lipps Inc,Funkytown,EASY
Disco dancefloor,Amii Stewart,Knock on Wood,MEDIUM
Disco dancefloor,Gloria Gaynor,Never Can Say Goodbye,HARD
Disco dancefloor,Chic,Everybody Dance,HARD
Disco dancefloor,Sylvester,You Make Me Feel (Mighty Real),MEDIUM
Disco dancefloor,The Pointer Sisters,I'm So Excited,EASY
Disco dancefloor,Kool & the Gang,Celebration,EASY
Disco dancefloor,Kool & the Gang,Get Down on It,MEDIUM
Disco dancefloor,Kool & the Gang,Ladies' Night,MEDIUM
Disco dancefloor,The Gibson Brothers,Cuba,MEDIUM
Disco dancefloor,Ottawan,D.I.S.C.O.,EASY
Disco dancefloor,Ottawan,Hands Up (Give Me Your Heart),MEDIUM
Disco dancefloor,Sheila & B. Devotion,Spacer,HARD
Disco dancefloor,Cerrone,Supernature,HARD
Disco dancefloor,Voyage,Souvenirs,HARD
