slug,playlist,work,aliases,artist,title,level
video-games,Jeux Vidéo,Super Mario Bros.,Mario|Super Mario,Koji Kondo,Super Mario Bros. Theme,EASY
video-games,Jeux Vidéo,The Legend of Zelda,Zelda,Koji Kondo,The Legend of Zelda Main Theme,EASY
video-games,Jeux Vidéo,Tetris,Tetris,,Tetris Theme (Korobeiniki),EASY
video-games,Jeux Vidéo,Pokémon,Pokemon,,Pokémon Theme,EASY
video-games,Jeux Vidéo,Sonic the Hedgehog,Sonic,,Green Hill Zone,EASY
video-games,Jeux Vidéo,Pac-Man,Pac-Man,,Pac-Man Theme,MEDIUM
video-games,Jeux Vidéo,Street Fighter II,Street Fighter,,Guile's Theme,MEDIUM
video-games,Jeux Vidéo,Final Fantasy VII,Final Fantasy,Nobuo Uematsu,One-Winged Angel,MEDIUM
video-games,Jeux Vidéo,Minecraft,Minecraft,C418,Sweden,EASY
video-games,Jeux Vidéo,Halo,Halo,Martin O'Donnell,Halo Theme,MEDIUM
video-games,Jeux Vidéo,The Elder Scrolls V: Skyrim,Skyrim,Jeremy Soule,Dragonborn,MEDIUM
video-games,Jeux Vidéo,Tomb Raider,Tomb Raider,,Tomb Raider Theme,MEDIUM
video-games,Jeux Vidéo,Mortal Kombat,Mortal Kombat,,Techno Syndrome (Mortal Kombat),MEDIUM
video-games,Jeux Vidéo,Doom,Doom,,At Doom's Gate,MEDIUM
video-games,Jeux Vidéo,Castlevania,Castlevania,,Vampire Killer,EXPERT
video-games,Jeux Vidéo,Mega Man 2,Mega Man,,Dr. Wily's Castle,EXPERT
video-games,Jeux Vidéo,Donkey Kong Country,Donkey Kong,David Wise,Aquatic Ambiance,EXPERT
video-games,Jeux Vidéo,Metroid,Metroid,,Brinstar Theme,EXPERT
video-games,Jeux Vidéo,Kirby,Kirby,,Green Greens,EXPERT
video-games,Jeux Vidéo,Undertale,Undertale,Toby Fox,Megalovania,MEDIUM
video-games,Jeux Vidéo,Kingdom Hearts,Kingdom Hearts,Utada Hikaru,Simple and Clean,MEDIUM
video-games,Jeux Vidéo,Portal,Portal,Jonathan Coulton,Still Alive,MEDIUM
video-games,Jeux Vidéo,Cyberpunk 2077,Cyberpunk,,I Really Want to Stay at Your House,MEDIUM
video-games,Jeux Vidéo,Grand Theft Auto: San Andreas,GTA San Andreas|GTA,,San Andreas Theme,MEDIUM
video-games,Jeux Vidéo,Animal Crossing,Animal Crossing,,Animal Crossing Title Theme,EXPERT
video-games,Jeux Vidéo,Splatoon,Splatoon,,Splattack!,EXPERT
video-games,Jeux Vidéo,Super Smash Bros.,Smash Bros,,Super Smash Bros. Melee Main Theme,MEDIUM
video-games,Jeux Vidéo,Crash Bandicoot,Crash Bandicoot,,Crash Bandicoot Theme,MEDIUM
