slug,playlist,artist,title,level
musicals-us,Comédies musicales US,Grease,Summer Nights,EASY
musicals-us,Comédies musicales US,Grease,You're the One That I Want,EASY
musicals-us,Comédies musicales US,Grease,Greased Lightnin',MEDIUM
musicals-us,Comédies musicales US,Grease,Hopelessly Devoted to You,MEDIUM
musicals-us,Comédies musicales US,The Sound of Music,Do-Re-Mi,EASY
musicals-us,Comédies musicales US,The Sound of Music,My Favorite Things,MEDIUM
musicals-us,Comédies musicales US,The Sound of Music,Edelweiss,MEDIUM
musicals-us,Comédies musicales US,West Side Story,America,MEDIUM
musicals-us,Comédies musicales US,West Side Story,Tonight,MEDIUM
musicals-us,Comédies musicales US,West Side Story,Maria,MEDIUM
musicals-us,Comédies musicales US,The Phantom of the Opera,The Music of the Night,MEDIUM
musicals-us,Comédies musicales US,The Phantom of the Opera,The Phantom of the Opera,MEDIUM
musicals-us,Comédies musicales US,Les Misérables,I Dreamed a Dream,EASY
musicals-us,Comédies musicales US,Les Misérables,One Day More,MEDIUM
musicals-us,Comédies musicales US,Les Misérables,On My Own,MEDIUM
musicals-us,Comédies musicales US,Les Misérables,Do You Hear the People Sing?,MEDIUM
musicals-us,Comédies musicales US,Cats,Memory,MEDIUM
musicals-us,Comédies musicales US,Chicago,All That Jazz,MEDIUM
musicals-us,Comédies musicales US,Chicago,Cell Block Tango,MEDIUM
musicals-us,Comédies musicales US,Chicago,Razzle Dazzle,EXPERT
musicals-us,Comédies musicales US,Hamilton,Alexander Hamilton,MEDIUM
musicals-us,Comédies musicales US,Hamilton,My Shot,MEDIUM
musicals-us,Comédies musicales US,Hamilton,You'll Be Back,MEDIUM
musicals-us,Comédies musicales US,Hamilton,Wait for It,EXPERT
musicals-us,Comédies musicales US,The Greatest Showman,This Is Me,EASY
musicals-us,Comédies musicales US,The Greatest Showman,The Greatest Show,MEDIUM
musicals-us,Comédies musicales US,The Greatest Showman,Rewrite the Stars,MEDIUM
musicals-us,Comédies musicales US,The Greatest Showman,A Million Dreams,MEDIUM
musicals-us,Comédies musicales US,The Greatest Showman,Never Enough,MEDIUM
musicals-us,Comédies musicales US,Wicked,Defying Gravity,EASY
musicals-us,Comédies musicales US,Wicked,Popular,MEDIUM
musicals-us,Comédies musicales US,Wicked,For Good,MEDIUM
musicals-us,Comédies musicales US,Mamma Mia!,Dancing Queen,EASY
musicals-us,Comédies musicales US,Hairspray,You Can't Stop the Beat,MEDIUM
musicals-us,Comédies musicales US,Hairspray,Good Morning Baltimore,MEDIUM
