slug,playlist,artist,title,level
latino,Latino,Ricky Martin,She Bangs,EASY
latino,Latino,Ricky Martin,Vente Pa' Ca,EASY
latino,Latino,Enrique Iglesias,Hero,EASY
latino,Latino,Enrique Iglesias,Escape,EASY
latino,Latino,Shakira,Loca,EASY
latino,Latino,Shakira,Te Felicito,EASY
latino,Latino,Shakira,Monotonía,EASY
latino,Latino,J Balvin,Safari,EASY
latino,Latino,J Balvin,6 AM,EASY
latino,Latino,Bad Bunny,Yonaguni,EASY
latino,Latino,Bad Bunny,Callaíta,EASY
latino,Latino,Bad Bunny,Vete,EASY
latino,Latino,Karol G,Mamiii,EASY
latino,Latino,Karol G,Ahora Me Llama,EASY
latino,Latino,Maluma,El Préstamo,EASY
latino,Latino,Ozuna,Baila Baila Baila,EASY
latino,Latino,Anuel AA,Secreto,EASY
latino,Latino,Rauw Alejandro,Tattoo,EASY
latino,Latino,Sebastián Yatra,Chica Ideal,EASY
latino,Latino,Camilo,Vida de Rico,EASY
latino,Latino,Camilo,Tutu,EASY
latino,Latino,Manuel Turizo,Desconocidos,EASY
latino,Latino,Becky G,Mayores,EASY
latino,Latino,Becky G,Sin Pijama,EASY
latino,Latino,Natti Natasha,Criminal,EASY
latino,Latino,Tini,La Triple T,EASY
latino,Latino,Danna Paola,Oye Pablo,EASY
latino,Latino,Myke Towers,La Curiosidad,EASY
latino,Latino,Jhayco,Tarot,EASY
latino,Latino,Quevedo,Punto G,EASY
latino,Latino,Bizarrap & Quevedo,Bzrp Music Sessions #52,EASY
latino,Latino,Rosalía,TKN,EASY
latino,Latino,Rosalía,Saoko,EASY
latino,Latino,Daddy Yankee,Con Calma,EASY
latino,Latino,Pitbull,Hotel Room Service,EASY
latino,Latino,Chayanne,Y Tú Te Vas,MEDIUM
latino,Latino,Luis Fonsi,No Me Doy por Vencido,MEDIUM
latino,Latino,Reik,Qué Gano Olvidándote,MEDIUM
latino,Latino,Reik,Noviembre Sin Ti,MEDIUM
latino,Latino,Camila,Todo Cambió,MEDIUM
latino,Latino,Sin Bandera,Kilómetros,MEDIUM
latino,Latino,Maná,En el Muelle de San Blas,MEDIUM
latino,Latino,Maná,Vivir Sin Aire,MEDIUM
latino,Latino,Maná,Mariposa Traicionera,MEDIUM
latino,Latino,Juanes,Es Por Ti,MEDIUM
latino,Latino,Juanes,Para Tu Amor,MEDIUM
latino,Latino,Carlos Vives,Fruta Fresca,MEDIUM
latino,Latino,Carlos Vives,La Tierra del Olvido,MEDIUM
latino,Latino,Diego Torres,Color Esperanza,MEDIUM
latino,Latino,Alejandro Sanz,No Es lo Mismo,MEDIUM
latino,Latino,Alejandro Sanz,Y Sólo Se Me Ocurre Amarte,MEDIUM
latino,Latino,Marc Anthony,Y Hubo Alguien,MEDIUM
latino,Latino,Gilberto Santa Rosa,Vivir Sin Ella,MEDIUM
latino,Latino,Víctor Manuelle,Que Suenen los Tambores,MEDIUM
latino,Latino,Jerry Rivera,Cara de Niño,MEDIUM
latino,Latino,Prince Royce,Stand by Me,MEDIUM
latino,Latino,Romeo Santos,Eres Mía,MEDIUM
latino,Latino,Aventura,El Perdedor,MEDIUM
latino,Latino,Wisin & Yandel,Abusadora,MEDIUM
latino,Latino,Don Omar,Salió el Sol,MEDIUM
latino,Latino,Tego Calderón,Pa' Que Retozen,MEDIUM
latino,Latino,Calle 13,Atrévete-te-te,MEDIUM
latino,Latino,Calle 13,La Vuelta al Mundo,MEDIUM
latino,Latino,Café Tacvba,Chilanga Banda,MEDIUM
latino,Latino,Julieta Venegas,Me Voy,MEDIUM
latino,Latino,Julieta Venegas,Limón y Sal,MEDIUM
latino,Latino,Natalia Lafourcade,Nunca Es Suficiente,MEDIUM
latino,Latino,Mon Laferte,Tu Falta de Querer,MEDIUM
latino,Latino,Kany García,Para Volver a Amar,MEDIUM
latino,Latino,Ismael Rivera,El Nazareno,EXPERT
latino,Latino,Cheo Feliciano,Anacaona,EXPERT
latino,Latino,Bobby Valentín,Use a Mí,EXPERT
latino,Latino,Ray Barretto,Indestructible,EXPERT
latino,Latino,Eddie Palmieri,Vámonos Pa'l Monte,EXPERT
latino,Latino,Larry Harlow,La Cartera,EXPERT
latino,Latino,Pete Rodríguez,I Like It Like That,EXPERT
latino,Latino,Joe Cuba,Bang Bang,EXPERT
latino,Latino,La Lupe,Puro Teatro,EXPERT
latino,Latino,Celia Cruz & Johnny Pacheco,Quimbara,EXPERT
latino,Latino,Cortijo y su Combo,El Bombón de Elena,EXPERT
latino,Latino,Los Van Van,Sandunguera,EXPERT
latino,Latino,NG La Banda,La Bruja,EXPERT
latino,Latino,Juan Formell,Que Pista,EXPERT
latino,Latino,Buena Vista Social Club,El Cuarto de Tula,EXPERT
latino,Latino,Ibrahim Ferrer,Dos Gardenias,EXPERT
latino,Latino,Omara Portuondo,Veinte Años,EXPERT
latino,Latino,Silvio Rodríguez,Ojalá,EXPERT
latino,Latino,Silvio Rodríguez,Unicornio,EXPERT
latino,Latino,Pablo Milanés,Yolanda,EXPERT
latino,Latino,Atahualpa Yupanqui,Los Ejes de Mi Carreta,EXPERT
latino,Latino,Víctor Jara,Te Recuerdo Amanda,EXPERT
latino,Latino,Inti-Illimani,El Pueblo Unido Jamás Será Vencido,EXPERT
latino,Latino,Los Jaivas,Todos Juntos,EXPERT
latino,Latino,Charly García,Yo No Quiero Volverme Tan Loco,EXPERT
latino,Latino,Spinetta,Muchacha (Ojos de Papel),EXPERT
latino,Latino,Sui Generis,Canción para Mi Muerte,EXPERT
latino,Latino,Serú Girán,Seminare,EXPERT
latino,Latino,Virus,Wadu Wadu,EXPERT
latino,Latino,Sumo,La Rubia Tarada,EXPERT
latino,Latino,Patricio Rey y sus Redonditos de Ricota,Jijiji,EXPERT
latino,Latino,Divididos,Spaghetti del Rock,EXPERT
latino,Latino,Los Prisioneros,La Voz de los '80,EXPERT
latino,Latino,Soda Stereo,Cuando Pase el Temblor,EXPERT
italie,Italie,Eros Ramazzotti,L'aurora,EASY
italie,Italie,Eros Ramazzotti,Un'altra te,EASY
italie,Italie,Laura Pausini,Benvenuto,EASY
italie,Italie,Laura Pausini,Vivimi,EASY
italie,Italie,Tiziano Ferro,Il conforto,EASY
italie,Italie,Tiziano Ferro,Accetto miracoli,EASY
italie,Italie,Marco Mengoni,Ti ho voluto bene veramente,EASY
italie,Italie,Marco Mengoni,Esseri umani,EASY
italie,Italie,Cesare Cremonini,Poetica,EASY
italie,Italie,Cesare Cremonini,Nessuno vuole essere Robin,EASY
italie,Italie,Måneskin,Mammamia,EASY
italie,Italie,Måneskin,Supermodel,EASY
italie,Italie,Mahmood,Inuyasha,EASY
italie,Italie,Blanco,La canzone nostra,EASY
italie,Italie,Sangiovanni,Farfalle,EASY
italie,Italie,Annalisa,Mon Amour,EASY
italie,Italie,Elodie,Tribale,EASY
italie,Italie,Achille Lauro,Mille (con Fedez),EASY
italie,Italie,Lazza,Cenere (Sanremo),EASY
italie,Italie,Pinguini Tattici Nucleari,Scrivile scemo,EASY
italie,Italie,Rkomi,Insuperabile,EASY
italie,Italie,Tananai,Tango,EASY
italie,Italie,Madame,Voce,EASY
italie,Italie,Gaia,Chega,EASY
italie,Italie,Coez,Domenica,EASY
italie,Italie,Fedez,Bella storia,EASY
italie,Italie,Salmo,Stai zitto,EASY
italie,Italie,Ghali,Cara Italia,EASY
italie,Italie,Marracash,Crazy Love,EASY
italie,Italie,Geolier,"I p' me, tu p' te (Sanremo)",EASY
italie,Italie,Articolo 31,Un bel viaggio,EASY
italie,Italie,Boomdabash,Mohicani,EASY
italie,Italie,Baby K,Non mi basta più,EASY
italie,Italie,Lucio Battisti,Il tempo di morire,MEDIUM
italie,Italie,Lucio Battisti,Ancora tu,MEDIUM
italie,Italie,Lucio Battisti,Una donna per amico,MEDIUM
italie,Italie,Mina,E penso a te,MEDIUM
italie,Italie,Mina,Se telefonando,MEDIUM
italie,Italie,Mina,Tintarella di luna,MEDIUM
italie,Italie,Adriano Celentano,Una carezza in un pugno,MEDIUM
italie,Italie,Adriano Celentano,L'emozione non ha voce,MEDIUM
italie,Italie,Vasco Rossi,Senza parole,MEDIUM
