artist	title	year	rows	current_id	problem	reason	playlists
(G)I-DLE	Super Lady		1	1801725652	artiste différent : « i-dle » au lieu de « (G)I-DLE » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « i-dle » au lieu de « (G)I-DLE » (reprise ?))	K-Pop
(G)I-DLE	TOMBOY	2022	3	1802621240	artiste différent : « i-dle » au lieu de « (G)I-DLE » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « i-dle » au lieu de « (G)I-DLE » (reprise ?))	K-Pop, Années 2020 — Hard, Années 2020
1789, les Amants de la Bastille	Ça ira mon amour	2012	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (16 résultats, 5 rejetés)	Comédies musicales françaises
2 Frères	La promesse	2019	2	1595744758	artiste différent : « 2Frères » au lieu de « 2 Frères » (reprise ?)	aucune version standard trouvée (25 résultats, 0 rejetés)	Variété FR 2010s — Medium, Variété FR — Années 2010
2Frères	Plus fort		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Québec & Franco
2Pac ft. Dr. Dre	California Love	1995	2	1031604977	artiste différent : « 2Pac » au lieu de « 2Pac ft. Dr. Dre » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « 2Pac » au lieu de « 2Pac ft. Dr. Dre » (reprise ?))	Années 90 — Facile, Années 90
3 Cafés Gourmands	À nos souvenirs	2017	2	1410960558	artiste différent : « Trois Cafés Gourmands » au lieu de « 3 Cafés Gourmands » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Variété FR 2010s — Medium, Variété FR — Années 2010
Activate	Save Me		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 3 rejetés)	Eurodance 90s
Akhenaton	La Sentinelle	2002	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (9 résultats, 2 rejetés)	Variété FR — Années 2000, Variété FR — Années 2000 — Moyen
Aldebert	Mon papa chevalier	2010	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (3 résultats, 0 rejetés)	Enfants — 4 à 8 ans
Anne Sylvestre	Mon âne	1975	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Enfants — 4 à 8 ans
Annie Philippe	Ticket de quai		1	1662993336	version suspecte : « 2023 Remastered Version » (version)	aucune version standard trouvée (7 résultats, 7 rejetés)	Yéyé — Années 60 françaises
Antico	Mistral		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (2 résultats, 0 rejetés)	Eurodance 90s
ATC	Around the World	2000	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Été — Piscine & Apéro, Nouvel An — Party & Compte à rebours
Bad Boys Blue	You're a Woman		1	1294964095	version suspecte : « Split Mirrors Remix » (remix)	aucune version standard trouvée (25 résultats, 5 rejetés)	Italo Disco Classics
Baek Yerin	Square		1	1533444821	artiste différent : « 4Keus » au lieu de « Baek Yerin » (reprise ?)	aucune version standard trouvée (25 résultats, 0 rejetés)	K-Pop
Bénabar	Effets secondaires	2014	2		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR — Années 2010, Variété FR Années 2010 — Hard
Bénabar	Pour la peine	2016	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 4 rejetés)	Variété FR Années 2010 — Hard, Variété FR — Années 2010
Bénabar	Salaud	2003	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (6 résultats, 1 rejetés)	Variété FR — Années 2000 — Moyen, Variété FR — Années 2000
Bénabar	Tomber dans ses bras	2014	1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR 2010s — Mix
Beyoncé & Jay-Z	Crazy in Love	2003	1	250776858	artiste différent : « Beyoncé » au lieu de « Beyoncé & Jay-Z » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Beyoncé » au lieu de « Beyoncé & Jay-Z » (reprise ?))	Duos cultes
Beyoncé feat. Jay-Z	Crazy in Love	2003	1	250776858	artiste différent : « Beyoncé » au lieu de « Beyoncé feat. Jay-Z » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Beyoncé » au lieu de « Beyoncé feat. Jay-Z » (reprise ?))	Soul & R&B
Beyoncé ft. Jay-Z	Crazy in Love	2003	3	250776858	artiste différent : « Beyoncé » au lieu de « Beyoncé ft. Jay-Z » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Beyoncé » au lieu de « Beyoncé ft. Jay-Z » (reprise ?))	Tubes de l'été — 2005 à 2019, Anniversaire, Nouvel An — Party & Compte à rebours
Bob Andy	I've Got to Go Back Home		1	1665885319	artiste différent : « Beres Hammond » au lieu de « Bob Andy » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Reggae & Bob Marley
Bobby Pickett	Monster Mash	1962	1	82125202	artiste différent : « Bobby "Boris" Pickett » au lieu de « Bobby Pickett » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Halloween — Nuit Frissons
Boy	Soleils Cou Coupés	2009	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Variété FR — Années 2000 — Mix
Brenda Lee	Rockin' Around the Christmas Tree	1958	1	1442732095	artiste différent : « Roy M » au lieu de « Brenda Lee » (reprise ?)	aucune version standard trouvée (25 résultats, 8 rejetés)	Noël
Bruno Mars	Uptown Funk		3		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 4 rejetés)	Années 2010, Le Sample, Disco & Funk
Cali	Pas le temps de vivre	2003	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Variété FR — Années 2000 — Moyen, Variété FR — Années 2000
Calogero	Cinquième saison	2014	2		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR — Années 2010, Variété FR 2010s — Easy
Calogero	La marche du président	2017	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (1 résultats, 0 rejetés)	Variété FR Années 2010 — Hard, Variété FR — Années 2010
Calvin Harris ft. Rihanna	This Is What You Came For	2016	5	1761396653	artiste différent : « Calvin Harris & Rihanna » au lieu de « Calvin Harris ft. Rihanna » (reprise ?)	aucune version standard trouvée (25 résultats, 10 rejetés)	Années 2010 — Facile, Nouvel An — Party & Compte à rebours, Années 2010 — Mix, Années 2010, Electro & EDM
Cats	Memory		1	201292829	artiste différent : « Barbra Streisand » au lieu de « Cats » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Comédies musicales US
Chastain	The King of the World		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (7 résultats, 2 rejetés)	Hard Rock 80s
Cheb Bilal	Yamina		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Raï & Oriental
Chicago Cast	Cell Block Tango	2002	1	197901373	artiste différent : « Catherine Zeta-Jones, Susan Misner, Deidre Goodwin, Denise Faye, Ekaterina Chtchelkanova, Mya Harrison & Taye Diggs » au lieu de « Chicago Cast » (reprise ?)	aucune version standard trouvée (25 résultats, 10 rejetés)	Comédies musicales US
