track_id,artist,title,year,playlists,difficulty_actuel,is_francophone_actuel
5e23412f-2219-41ac-b5bc-3af0c4b48c2f,'Til Tuesday,Voices Carry,1985,official-pl-new-wave-synthpop-80s,,false
19f231e6-0875-4901-b369-2977cce36ab9,(G)I-DLE,TOMBOY,2022,official-pl-2020s|official-pl-2020s-hard|official-pl-kpop,3,false
8e5e0f29-07ab-413e-aaec-41fd35a7347c,*NSYNC,Bye Bye Bye,2000,official-pl-boys-girls-bands|official-pl-karaoke|official-pl-pop,,false
16f34048-cc67-4b79-8f48-82005e56a8b2,*NSYNC,It's Gonna Be Me,2000,official-pl-90s|official-pl-90s-easy|official-pl-boys-girls-bands|official-pl-karaoke,1,false
441c670a-844f-4ffe-9f93-59081977efd3,10cc,Dreadlock Holiday,1978,official-pl-reggae,,false
23e03b8c-5d91-4917-9ea4-b1b6175597cd,10cc,I'm Not in Love,1975,official-pl-70s|official-pl-70s-mix|official-pl-pop,,false
92241b64-2c07-4626-a33b-b60709294866,13 Organisé,Bande organisée,2020,official-pl-hiphop-fr-2020s,,true
b64b4d30-475a-4b10-9883-cf226f9ef0f2,"1789, les Amants de la Bastille",Ça ira mon amour,2012,official-pl-musicales-fr,,true
b99d9abd-5ea3-47e6-959d-2235ddd240d3,"1789, les Amants de la Bastille",Tomber dans ses yeux,2012,official-pl-musicales-fr,,true
22369b69-271f-4765-8b8f-060186c6783c,2 Be 3,Toujours là pour toi,1996,official-pl-fr-90s|official-pl-fr-90s-medium,2,true
776d447d-2d01-41b3-863e-3f1faff8b854,2 Frères,La promesse,2019,official-pl-fr-2010s|official-pl-fr-2010s-medium,2,true
3de6d81b-2b2a-408b-a409-8bc5d2526082,2 Unlimited,No Limit,1993,official-pl-90s|official-pl-chants-de-stade|official-pl-eurodance-90s|official-pl-guilty-pleasures,,false
567026e7-6c26-45d8-82ba-c932d6c7d795,24kGoldn & iann dior,Mood,2020,official-pl-2020s|official-pl-2020s-medium|official-pl-2020s-mix,2,false
8e99422d-dafb-474e-a278-663c4ef7d453,2Pac,California Love,1995,official-pl-90s|official-pl-90s-easy|official-pl-90s-mix|official-pl-rap-us,1,false
cd67d4d1-c786-4981-97f8-6844ffe6efe5,2Pac,Changes,1998,official-pl-rap-us,,false
83bf58d5-6ab1-4248-98a7-6991df42d636,3 Cafés Gourmands,À nos souvenirs,2017,official-pl-fr-2010s|official-pl-fr-2010s-medium,2,true
a2328496-c5a5-4c23-af47-84bf8688794d,3 Doors Down,Here Without You,2003,official-pl-punk-rock-90s-2000s,,false
29db5cdb-7308-48fa-b160-e4d74bf9e400,3 Doors Down,Kryptonite,2000,official-pl-2000s|official-pl-2000s-medium|official-pl-punk-rock-90s-2000s,2,false
9e4ddb44-4123-4012-bca7-d33a9c4119e3,3OH!3,Don't Trust Me,2008,official-pl-2000s|official-pl-2000s-medium,2,false
5f750320-dfef-4289-8f2f-a51f1b3cb8a6,4 Non Blondes,What's Up?,1992,official-pl-90s|official-pl-90s-easy|official-pl-90s-medium|official-pl-90s-mix|official-pl-karaoke|official-pl-one-hit-wonders|official-pl-pubs-cultes|official-pl-un-seul-tube,1,false
df0e58bc-e03c-4e4b-b971-df8a041796b0,5 Seconds of Summer,She Looks So Perfect,2014,official-pl-love-international,,false
23931333-755b-45bb-86e0-28ace410b97c,50 Cent,Candy Shop,2005,official-pl-rap-us,,false
0ec631b5-e6a2-4c8a-a662-917fbd025196,50 Cent,In da Club,2003,official-pl-2000s|official-pl-2000s-easy|official-pl-2000s-medium|official-pl-2000s-mix|official-pl-le-sample|official-pl-new-year-party|official-pl-rap-us,1,false
