youtube_id	yt_title	yt_channel	catalog_artist	catalog_title	verdict	playable	reason	n_tracks
etviGf1uWlg	Deee-Lite - Groove Is In The Heart (Official Video)	Deee-Lite	Deee-Lite	Groove Is in the Heart	ok	Y		3
yURRmWtbTbo	Michael Jackson - Don't Stop 'Til You Get Enough (Official Video - Upscaled)	michaeljacksonVEVO	Michael Jackson	Don't Stop 'Til You Get Enough	ok	Y		4
qSIOp_K5GMw	Brandy & Monica - The Boy Is Mine (Official Video)	Brandy Videos	Brandy & Monica	The Boy Is Mine	ok	Y		1
3YxaaGgTQYM	Evanescence - Bring Me To Life (Official HD Music Video) ft. Paul McCoy	EvanescenceVEVO	Evanescence	Bring Me to Life	ok	Y		5
rCiBgLOcuKU	Cardi B - Up [Official Music Video]	Cardi B	Cardi B	Up	ok	Y		2
wmin5WkOuPw	The Prodigy - Firestarter (Official Video)	The Prodigy	The Prodigy	Firestarter	ok	Y		7
kI-TBmie1Yc	Survivor - Eye Of The Tiger (Audio) (Remastered 2021)	Luis Fernando Flores	Survivor	Eye of the Tiger	ok	Y		6
-0KvBnIvTFs	Edith Piaf - La vie en rose (Audio officiel)	Edith Piaf Officiel	Édith Piaf	La Vie en rose	ok	Y		3
e0esAGxzP6Y	Jacques Brel - Ne me quitte pas (Official Lyric Video)	Jacques Brel	Jacques Brel	Ne me quitte pas	ok	Y		3
4G-YQA_bsOU	Simon & Garfunkel - Bridge Over Troubled Water (Audio)	SimonGarfunkelVEVO	Simon & Garfunkel	Bridge Over Troubled Water	ok	Y		4
gjndTXyk3mw	Boris Vian- Le déserteur	Pablo Gonçalves	Boris Vian	Le déserteur	ok	Y		2
8MLzijpQkJI	Charles Trenet - La mer	Charles Trenet	Charles Trenet	La Mer	ok	Y		2
hBE7luv9fuo	Sabrina - Boys (Summertime Love) (Glam Metal Synthwave Version)	Katana Audio Archives	Sabrina	Boys (Summertime Love)	ok	Y		2
VHrLPs3_1Fs	George Ezra - Budapest (Official Video)	GeorgeEzraVEVO	George Ezra	Budapest	ok	Y		5
XXYlFuWEuKI	The Weeknd - Save Your Tears (Official Music Video)	TheWeekndVEVO	The Weeknd	Save Your Tears	ok	Y		4
raNGeq3_DtM	Foreigner - 'I Want To Know What Love Is' [Official Music Video]	ApplePie Music	Foreigner	I Want to Know What Love Is	ok	Y		8
oFJIenHfjK0	Gusttavo Lima & Neymar - BALADA (TCHÊ TCHERERE TCHÊ TCHÊ)	Energy TV	Gusttavo Lima	Balada (Tchê Tcherere Tchê Tchê)	ok	Y		1
K38xNqZvBJI	Bowling For Soup - 1985	BowlingForSoupVEVO	Bowling for Soup	1985	ok	Y		4
dV3AziKTBUo	Steve Miller Band - The Joker (Official Music Video)	SteveMillerBandVEVO	Steve Miller Band	The Joker	ok	Y		4
c-7DClxEsZ4	~Tetris Theme A - Hirokazu Tanaka - Von.Crisbara violin cover (Official Audio)~	Von.Crisbara	Hirokazu Tanaka	Tetris (Theme A / Korobeiniki)	ok	Y		1
rygifBeBKUU	Pierre Bachelet - Les corons (Audio)	pierrebacheletVEVO	Pierre Bachelet	Les Corons	ok	Y		3
6Ejga4kJUts	The Cranberries - Zombie (Official Music Video)	TheCranberriesVEVO	The Cranberries	Zombie	ok	Y		9
lZzcQ-uQ8R0	Europe - The Final Countdown (audio)	Luis Fernando Flores	Europe	The Final Countdown	ok	Y		7
4eJckVIJk5c	Gala - Freed From Desire	Mircea-Eugen Șerban	Gala	Freed from Desire	ok	Y		4
OPf0YbXqDm0	Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars	MarkRonsonVEVO	Mark Ronson ft. Bruno Mars	Uptown Funk	ok	Y		17
g0cDp07uYP0	I Dreamed A Dream (From "Les Misérables")	Anne Hathaway - Topic	Les Misérables	I Dreamed a Dream	ok	Y		1
cF1Na4AIecM	Sabrina Carpenter - Please Please Please	SabrinaCarpenterVEVO	Sabrina Carpenter	Please Please Please	ok	Y		2
EOxj2ROIxok	Megan Thee Stallion - Savage [Lyric Video]	Megan Thee Stallion	Megan Thee Stallion	Savage	ok	Y		5
Uq9gPaIzbe8	Sam Smith, Kim Petras - Unholy (Official Music Video)	SamSmithVEVO	Sam Smith & Kim Petras	Unholy	ok	Y		6
rywUS-ohqeE	Alicia Keys - No One (Official Music Video)	aliciakeysVEVO	Alicia Keys	No One	ok	Y		8
tw3SOjTsUsM	Danièle Hazan - Signé Cat's Eyes (Générique de la série télévisée)	Ciné Music Club	Vanesa	Cat's Eye (Signé Cat's Eyes)	artist_mismatch	Y		1
8y6dWcRkggA	Bernard Minet - Bioman	Mercier Sandrine	Bernard Minet	Bioman	ok	Y		1
N7OPZOBJZyI	DJ Fresh ft. Rita Ora - Hot Right Now [Official Video]	DJ Fresh	DJ Fresh	Hot Right Now	ok	Y		1
KhJQ4XcYQbM	Albator, capitaine au cœur d'or | musique d'Albator 78 | (VF)	Ryan Honorez	Eric Charden	Capitaine Albator	artist_mismatch	Y		1
0InfUFHiNTg	Frédéric Bobin - Torrents de bière	anniecouvet	Hervé Lapalud	Pokémon (générique français)	title_mismatch	Y		1
wExpZNxWA_U	Sexion d'assaut - Désolé	SEXION D'ASSAUT	Sexion d'Assaut	Désolé	ok	Y		2
e4ujS1er1r0	Zac Brown Band - Chicken Fried (Official Music Video) | The Foundation	Zac Brown Band	Zac Brown Band	Chicken Fried	ok	Y		1
e5MAg_yWsq8	Styx - Come Sail Away	StyxVEVO	Styx	Come Sail Away	ok	Y		3
uLHqpjW3aDs	Roddy Ricch - The Box [Official Audio]	Roddy Ricch	Roddy Ricch	The Box	ok	Y		4
wXhTHyIgQ_U	Post Malone - Circles	PostMaloneVEVO	Post Malone	Circles	ok	Y		3
ApXoWvfEYVU	Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)	PostMaloneVEVO	Post Malone & Swae Lee	Sunflower	ok	Y		7
B6_iQvaIjXw	Ariana Grande - 34+35 (official video)	ArianaGrandeVevo	Ariana Grande	34+35	ok	Y		4
JYZMT8otKdI	Little Big Town - Girl Crush (Official Music Video)	LittleBigTownVEVO	Little Big Town	Girl Crush	ok	Y		1
v8wtlAFNhMg	Bernard Minet - Les Chevaliers du Zodiaque (Metal Band version)	Génération Club Do	Bernard Minet	M.A.S.K.	ok	Y		1
ZJL4UGSbeFg	Shania Twain - Man! I Feel Like A Woman! (Official Music Video)	ShaniaTwainVEVO	Shania Twain	Man! I Feel Like a Woman!	ok	Y		3
Ixrje2rXLMA	Dolly Parton - Jolene (Official Audio)	DollyPartonVEVO	Dolly Parton	Jolene	ok	Y		2
2fvw0TkENHM	24kGoldn - Mood (Official Audio) ft. iann dior	24KGoldnVEVO	24kGoldn & Iann Dior	Mood	ok	Y		2
kRt2sRyup6A	Juanes - La Camisa Negra	JuanesVEVO	Juanes	La Camisa Negra	ok	Y		6
bjrOcrisGyI	Up Where We Belong : Joe Cocker & Jennifer Warnes	fkwk101	Joe Cocker & Jennifer Warnes	Up Where We Belong	ok	Y		2
PkxaunLybuM	Rose Royce - Car Wash	BakNDaDay	Rose Royce	Car Wash	ok	Y		2
Er9xGRolrT4	Chic - Good Times (Atlantic Records 1979)	DiscoSaturdayNightTV	Chic	Good Times	ok	Y		2
ZAfAud_M_mg	Halsey - Without Me	HalseyVEVO	Halsey	Without Me	ok	Y		4
zABLecsR5UE	Lewis Capaldi - Someone You Loved	LewisCapaldiVEVO	Lewis Capaldi	Someone You Loved	ok	Y		6
cKeQcmlvKEE	Luis Mariano - Mexico (Audio officiel)	100% Chanson Française	Luis Mariano	Mexico	ok	Y		1
-n4yGJK9w64	Yves Duteil - Prendre un enfant (Paroles/Lyrics)	Sunshine	Yves Duteil	Prendre un enfant par la main	ok	Y		1
eBpYgpF1bqQ	Sister Sledge - We Are Family	Pierre Richard	Sister Sledge	We Are Family	ok	Y		3
RqQn2ADZE1A	Aerosmith - Janie's Got A Gun (David Fincher Cut)	AerosmithVEVO	Aerosmith	Janie's Got a Gun	ok	Y		1
AzaTyxMduH4	Céline Dion - Pour que tu m'aimes encore (Vidéo officielle remasterisée en HD)	CelineDionVEVO	Céline Dion	Pour que tu m'aimes encore	ok	Y		6
hynkbcyGsCM	Laura Pausini - La Solitudine (Official Audio)	Laura Pausini Multimedia	Laura Pausini	La solitudine	ok	Y		2
8iATPHyiBEI	Fugees - Killing Me Softly With His Song (HQ)	Piero Rojas	Fugees	Killing Me Softly	ok	Y		2
xjiYBGs0TUA	Dua Lipa - Don't Start Now (Official Lyrics Video)	Dua Lipa	Dua Lipa	Don't Start Now	ok	Y		4
BBliuvYMmsk	Savage - Don't Cry Tonight [Official Video]	rdsmusiclabel	Savage	Don't Cry Tonight	ok	Y		1
kdqkA3CE6nA	Scorpions - Rock You Like A Hurricane (Remastered) [Audio HQ]	GoldenMusic	Scorpions	Rock You Like a Hurricane	ok	Y		3
