ytId	artist	title	yt_title	verdict
tw3SOjTsUsM	Vanesa	Cat's Eye (Signé Cat's Eyes)	Danièle Hazan - Signé Cat's Eyes (Générique de la série télévisée)	artist_mismatch
KhJQ4XcYQbM	Eric Charden	Capitaine Albator	Albator, capitaine au cœur d'or | musique d'Albator 78 | (VF)	artist_mismatch
0InfUFHiNTg	Hervé Lapalud	Pokémon (générique français)	Frédéric Bobin - Torrents de bière	title_mismatch
esw1O9FJ-ik	Le Roi Lion (cast français)	Je voudrais déjà être roi	Je voudrais déjà être roi | Le Roi Lion 2019	artist_mismatch
3xBQSkc2dc8	Liane Foly	Histoire éternelle	LIANE FOLY / CHARLES AZNAVOUR - clip "La Belle et la Bête" (1992)	title_mismatch
ZwhIlF25Gro	Henri Dès	La poulette	Henri Dès raconte - Le Petit Poucet-histoire pour enfants	title_mismatch
ZrJmZwARXE8	Anne Sylvestre	Mon âne	Mon âne blanc	artist_mismatch
juQl2UbcD7w	Bernard Minet	Olive et Tom	Olive et Tom - Générique Officiel	artist_mismatch
uv37yxc51bE	Renaud	Encore une nuit	Renaud - Toujours debout (Clip officiel)	title_mismatch
8lZQwlFi4rM	Cali	Pas le temps de vivre	Le Droit des pères	title_mismatch
fZKhI84TT_0	Akhenaton	La Sentinelle	Akhenaton - Lumières orange - Prod By Akhenaton (Official Audio)	title_mismatch
hvzFPqM7THk	Vitalic	Le frunkp	Sexy Sushi - Cheval	title_mismatch
