playlist	playable	total	EASY	MEDIUM	EXPERT	under_15
Anime (Openings)	6	6	2	3	1	YES
Génériques Jeux TV & Émissions FR	7	7	6	1	0	YES
Raï & Oriental	11	11	5	4	2	YES
Variété FR — Années 2000 — Moyen	15	15	0	15	0	
Variété FR — Années 80 — Difficile	15	15	0	15	0	
Variété FR — Années 80 — Moyen	15	15	0	15	0	
Variété FR — Années 90 — Facile	15	15	15	0	0	
Musique de Film — Moyen	16	17	0	16	0	
Variété FR — Années 2000 — Mix	16	16	5	11	0	
Variété FR — Années 80 — Facile	16	16	16	0	0	
Variété FR — Années 90 — Moyen	16	16	0	16	0	
Comédies musicales françaises	16	16	3	13	0	
Variété FR — Années 2000 — Facile	17	17	17	0	0	
Variété FR 2010s — Medium	17	17	1	16	0	
Variété FR — Années 80 — Mix	17	17	5	12	0	
Cinéma français — Bandes originales	18	18	7	11	0	
Boomers — 60 ans et plus	18	18	6	12	0	
Variété FR 2010s — Easy	18	18	13	5	0	
Variété FR — Années 90 — Difficile	18	18	0	18	0	
Variété FR — Années 90 — Mix	18	18	5	13	0	
Génériques Club Dorothée — Dessins animés	20	20	6	12	2	
Variété FR 2010s — Mix	21	21	5	16	0	
Eurovision — Vainqueurs cultes	21	21	3	18	0	
Variété FR — Années 2000 — Difficile	21	21	0	21	0	
Variété FR Années 2010 — Hard	21	22	0	21	0	
James Bond — Génériques	21	22	3	18	0	
Guilty Pleasures	22	22	22	0	0	
Karaoké de Komptoir	22	22	22	0	0	
Rap Français	23	23	8	15	0	
Britpop 90s	23	24	5	18	0	
Noël	24	27	4	20	0	
Musique de Film — Difficile	27	27	0	27	0	
Le Sample	43	44	20	18	5	
Variété FR — Années 90	45	45	15	15	15	
Chanson Française Classique	46	46	15	18	13	
Variété FR — Années 80	46	46	16	15	15	
Chanson française culte	47	47	25	19	3	
Slows cultes	48	49	27	19	2	
Saint-Valentin	49	51	7	42	0	
Génériques de Séries TV	49	50	15	20	14	
Afrobeats	49	49	11	25	13	
Variété FR — Années 2010	49	50	18	15	16	
Années 60 — Internationales	50	52	7	43	0	
Québec & Franco	50	50	16	18	16	
Italie classique	52	52	8	29	15	
Variété FR — Années 2000	52	52	17	15	20	
Hip-Hop FR — Années 2020	53	53	14	27	12	
Disney — Versions originales	55	57	9	29	17	
Disney en français	55	55	16	25	14	
Enfants — 4 à 8 ans	57	57	22	21	14	
Reprises célèbres	57	59	3	54	0	
Jeux Vidéo	58	58	16	21	21	
Années 70 — Easy	58	60	52	6	0	
TikTok & Viral	58	58	28	17	13	
Années 70 — Hard	59	61	0	59	0	
Rap FR culte	60	60	19	22	19	
Années 2000 — Difficile	60	61	0	60	0	
Disco dancefloor	60	61	22	27	11	
Génériques dessins animés & séries enfants	60	60	12	25	23	
Années 2020 — Easy	61	61	61	0	0	
Musique de Film — Facile	61	61	61	0	0	
Années 2020 — Hard	62	62	0	62	0	
Rock Français	63	63	11	37	15	
French Touch & Electro	63	64	10	39	14	
Années 2020 — Mix	64	64	5	59	0	
Génériques films & séries	64	65	30	26	8	
Années 2020 — Medium	65	65	1	64	0	
Années 70 — Medium	66	68	1	65	0	
Années 70 — Mix	66	67	5	61	0	
Mariage — First Dance & Cérémonie	66	66	5	61	0	
Génériques Disney & Pixar	66	66	21	31	14	
Années 90 — Difficile	67	71	0	67	0	
Années 2010 — Difficile	67	70	0	67	0	
Comédies musicales US	68	68	15	37	16	
Brésil	71	71	26	28	17	
Intros légendaires	71	72	38	31	2	
Duos cultes	72	73	14	44	14	
Chansons d'amour — International	72	73	5	67	0	
Yéyé — Années 60 françaises	73	75	9	43	21	
Latino Fiesta	73	74	27	39	7	
Punk Rock — 90s & 2000s	73	75	10	48	15	
Tubes de l'été	73	75	48	12	13	
K-Pop	74	75	30	19	25	
Années 80 — Difficile	75	75	0	75	0	
Pop Divas	75	75	48	14	13	
Un seul tube	75	77	31	35	9	
Chants de stade	76	78	10	66	0	
Italo Disco Classics	76	77	6	27	43	
Été — Piscine & Apéro	77	80	7	70	0	
Pubs cultes	77	80	6	71	0	
New Wave & Synthpop 80s	77	78	7	70	0	
Années 80 — Facile	77	80	77	0	0	
Nouvel An — Party & Compte à rebours	78	80	7	71	0	
Apéro & Afterwork	78	80	4	74	0	
Années 2000 — Mix	79	80	5	74	0	
Anniversaire	79	80	9	70	0	
One-Hit Wonders	79	80	1	78	0	
Années 90 — Mix	79	80	5	74	0	
Karaoké — Soirée Classiques	79	80	7	72	0	
Années 90 — Moyen	79	80	0	79	0	
Roadtrip	79	80	7	72	0	
Années 2000 — Facile	80	80	80	0	0	
Années 90 — Facile	80	80	80	0	0	
Années 2010 — Mix	80	80	5	75	0	
Années 2000 — Moyen	80	80	0	80	0	
Années 2010 — Facile	80	80	80	0	0	
Halloween — Nuit Frissons	80	80	4	76	0	
Années 80 — Moyen	80	80	0	80	0	
Tubes de l'été — 2005 à 2019	80	80	10	70	0	
Années 80 — Mix	80	80	5	75	0	
Années 2010 — Moyen	80	80	0	80	0	
Eurodance 90s	80	80	26	37	17	
Reggae & Bob Marley	81	81	25	39	17	
Country	82	82	16	50	16	
Hard Rock 80s	84	88	24	45	15	
