group,playlist,artist,title,youtube_id,orig_flag,orig_spotify_track_name,orig_spotify_id
G1,official-pl-80s-easy,Dolly Parton,Nine to Five,UbxUSsFXYo4,no-match,9 to 5,4w3tQBXhn5345eUXDGBWZG
G1,official-pl-80s-easy,Duran Duran,Rio,nTizYn3-QN0,no-match,Rio - US Edit,68x0eW1iIqXU0exrafu8Ti
G1,official-pl-karaoke,Pharrell Williams,Happy,ZbZSe6N_BXs,no-match,Happy - Live,72K0gi3DyEuaW0kPCw0lrO
G1,official-pl-karaoke,Kenny Rogers & Dolly Parton,Islands in the Stream,UaNGtgYwSsU,no-match,Islands In the Stream,6dnco8haegnJYtylV26cBq
G1,official-pl-karaoke,"Christina Aguilera, Lil' Kim, Mýa, Pink",Lady Marmalade,RQa7SvVCdZk,no-match,Lady Marmalade,7uFwgf6ee162UIu7bDxk3q
G1,official-pl-karaoke,C+C Music Factory,Everybody Dance Now,LaTGrV58wec,no-match,"Here We Go, Let's Rock & Roll (feat. Freedom Williams & Zelma Davis)",0whwYFXgGNg14O8hdHguzV
G1,official-pl-karaoke,Mark Ronson ft. Bruno Mars,Uptown Funk,OPf0YbXqDm0,no-match,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS
G1,official-pl-90s-easy,Puff Daddy ft. Faith Evans,I'll Be Missing You,NKMtZm2YuBE,no-match,"I'll Be Missing You (feat. Faith Evans, 112)",3QHONiXGMGU3z68mQInncF
G1,official-pl-90s-easy,Céline Dion,My Heart Will Go On,mNsm2P0l_7Y,no-match,"My Heart Will Go On - Love Theme from ""Titanic""",33LC84JgLvK2KuW43MfaNq
G1,official-pl-90s-easy,Eiffel 65,Blue (Da Ba Dee),zA52uNzx7Y4,no-match,Eiffel 65 - Blue (Da Ba Dee) (Samuele Sartini & Cire Remix),2xeTDoozKW0Igu501Yntux
G1,official-pl-90s-easy,2Pac ft. Dr. Dre,California Love,J7_bMdYfSws,no-match,California Love (Ft. Dr.Dre) (By 2 Pac) (Instrumental Karaoke Version),1o5lUTXTAFh09WQqcHC9LD
G1,official-pl-90s-easy,Warren G ft. Nate Dogg,Regulate,1plPyJdXKIY,no-match,Regulate,7nYvUtkQMx1v80S2FH2s9J
G1,official-pl-90s-easy,Fugees,Killing Me Softly,8iATPHyiBEI,no-match,Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl
G1,official-pl-80s-mix,Duran Duran,Rio,nTizYn3-QN0,no-match,Rio - US Edit,68x0eW1iIqXU0exrafu8Ti
G1,official-pl-80s-mix,Kenny Loggins,Danger Zone,siwpn14IE7E,no-match,"Danger Zone - From ""Top Gun"" Original Soundtrack",34x6hEJgGAOQvmlMql5Ige
G1,official-pl-80s-mix,George Michael,Faith,6Cs3Pvmmv0E,no-match,Faith - Remastered,0HEmnAUT8PHznIAAmVXqFJ
G1,official-pl-80s-mix,David Bowie,Let's Dance,VbD_kBJc_gI,no-match,Let's Dance - 2018 Remaster,3ix6K4wZY29bCujrSznwFZ
G1,official-pl-80s-mix,Phil Collins,Against All Odds (Take a Look at Me Now),uVjEcIANv1o,no-match,Against All Odds (Take a Look at Me Now) - 2016 Remaster,63CHa6rmamv9OsehkRD8oz
G1,official-pl-80s-medium,Duran Duran,Rio,nTizYn3-QN0,no-match,Rio - US Edit,68x0eW1iIqXU0exrafu8Ti
G1,official-pl-90s-mix,Warren G & Nate Dogg,Regulate,1plPyJdXKIY,no-match,Regulate,7nYvUtkQMx1v80S2FH2s9J
G1,official-pl-90s-medium,Eiffel 65,Blue (Da Ba Dee),zA52uNzx7Y4,no-match,Eiffel 65 - Blue (Da Ba Dee) (Samuele Sartini & Cire Remix),2xeTDoozKW0Igu501Yntux
G1,official-pl-2000s-easy,Feist,"1, 2, 3, 4",ABYnqp-bxvg,no-match,"1, 2, 3, 4 (Van She Tech Remix) - Mixed",3EjunV64KClOUVAY5bh1br
G1,official-pl-90s-medium,Bush,Glycerine,hOllF3TgAsM,auto-ok,Glycerine (Live) [feat. Gwen Stefani],4VsClQxmqKJndZnX6tNBi9
